,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
32,32,22013,200751,Randy Foye,1610612743,DEN,Denver Nuggets,21301230,2014-04-16,DEN vs. GSW,L,43,10,21,0.476,3,10,0.3,9,12,0.75,0,2,2,11,0,1,5,1,32,-4,48.9,1
57,57,22013,202389,Timofey Mozgov,1610612743,DEN,Denver Nuggets,21301230,2014-04-16,DEN vs. GSW,L,25,2,3,0.667,0,1,0.0,6,6,1.0,2,3,5,1,0,2,3,3,10,-9,20.5,1
83,83,22013,203095,Evan Fournier,1610612743,DEN,Denver Nuggets,21301230,2014-04-16,DEN vs. GSW,L,23,3,11,0.273,1,7,0.143,5,5,1.0,0,2,2,1,0,0,0,2,12,-5,15.9,1
118,118,22013,201163,Wilson Chandler,1610612743,DEN,Denver Nuggets,21301230,2014-04-16,DEN vs. GSW,L,31,2,5,0.4,0,2,0.0,2,2,1.0,1,3,4,2,2,0,2,3,6,4,17.8,1
125,125,22013,203113,Quincy Miller,1610612743,DEN,Denver Nuggets,21301230,2014-04-16,DEN vs. GSW,L,23,2,6,0.333,0,3,0.0,2,2,1.0,1,6,7,1,0,1,1,5,6,0,17.9,1
224,224,22013,202702,Kenneth Faried,1610612743,DEN,Denver Nuggets,21301230,2014-04-16,DEN vs. GSW,L,38,7,17,0.412,0,0,,1,4,0.25,5,8,13,0,0,0,5,3,15,6,25.6,1
246,246,22013,201166,Aaron Brooks,1610612743,DEN,Denver Nuggets,21301230,2014-04-16,DEN vs. GSW,L,25,3,10,0.3,2,5,0.4,0,0,,0,1,1,6,0,0,0,4,8,-6,18.2,1
281,281,22013,201576,Anthony Randolph,1610612743,DEN,Denver Nuggets,21301230,2014-04-16,DEN vs. GSW,L,19,6,9,0.667,3,6,0.5,4,4,1.0,0,5,5,1,1,0,0,4,19,6,29.5,1
284,284,22013,202686,Jan Vesely,1610612743,DEN,Denver Nuggets,21301230,2014-04-16,DEN vs. GSW,L,14,2,2,1.0,0,0,,0,0,,0,3,3,0,1,0,3,3,4,-12,7.6,1
309,309,22013,201166,Aaron Brooks,1610612743,DEN,Denver Nuggets,21301215,2014-04-15,DEN @ LAC,L,42,6,12,0.5,3,6,0.5,4,4,1.0,1,3,4,5,2,0,9,2,19,-3,28.3,1
313,313,22013,203113,Quincy Miller,1610612743,DEN,Denver Nuggets,21301215,2014-04-15,DEN @ LAC,L,33,4,12,0.333,3,8,0.375,0,0,,0,4,4,2,0,2,2,3,11,-10,22.8,1
315,315,22013,201163,Wilson Chandler,1610612743,DEN,Denver Nuggets,21301215,2014-04-15,DEN @ LAC,L,26,3,7,0.429,1,3,0.333,0,0,,0,6,6,2,0,0,3,4,7,7,14.2,1
318,318,22013,203095,Evan Fournier,1610612743,DEN,Denver Nuggets,21301215,2014-04-15,DEN @ LAC,L,26,3,10,0.3,1,5,0.2,2,2,1.0,0,5,5,1,0,0,0,5,9,5,16.5,1
324,324,22013,202389,Timofey Mozgov,1610612743,DEN,Denver Nuggets,21301215,2014-04-15,DEN @ LAC,L,32,6,10,0.6,0,0,,6,7,0.857,6,5,11,2,0,1,1,2,18,-13,36.2,1
325,325,22013,202686,Jan Vesely,1610612743,DEN,Denver Nuggets,21301215,2014-04-15,DEN @ LAC,L,20,4,7,0.571,0,0,,1,2,0.5,2,1,3,1,3,1,0,2,9,1,26.1,1
328,328,22013,200751,Randy Foye,1610612743,DEN,Denver Nuggets,21301215,2014-04-15,DEN @ LAC,L,33,2,12,0.167,0,7,0.0,7,7,1.0,1,3,4,7,4,0,3,3,11,-25,35.3,1
