,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
22,22,22013,201584,Courtney Lee,1610612763,MEM,Memphis Grizzlies,21301216,2014-04-16,MEM vs. DAL,W,35,3,10,0.3,2,8,0.25,3,3,1.0,0,1,1,3,0,0,2,1,11,6,14.7,1
44,44,22013,2754,Tony Allen,1610612763,MEM,Memphis Grizzlies,21301216,2014-04-16,MEM vs. DAL,W,23,6,11,0.545,0,1,0.0,1,5,0.2,4,3,7,2,1,0,3,2,13,-6,24.4,1
158,158,22013,202334,Ed Davis,1610612763,MEM,Memphis Grizzlies,21301216,2014-04-16,MEM vs. DAL,W,12,2,2,1.0,0,0,,0,0,,2,2,4,0,0,0,2,1,4,-13,6.8,1
220,220,22013,201188,Marc Gasol,1610612763,MEM,Memphis Grizzlies,21301216,2014-04-16,MEM vs. DAL,W,46,9,13,0.692,0,1,0.0,1,4,0.25,1,8,9,9,2,1,0,2,19,12,52.3,1
225,225,22013,2216,Zach Randolph,1610612763,MEM,Memphis Grizzlies,21301216,2014-04-16,MEM vs. DAL,W,46,11,22,0.5,0,0,,5,6,0.833,9,5,14,1,1,0,3,5,27,10,45.3,1
274,274,22013,2034,Mike Miller,1610612763,MEM,Memphis Grizzlies,21301216,2014-04-16,MEM vs. DAL,W,24,1,5,0.2,1,4,0.25,0,0,,1,2,3,2,0,0,3,1,3,-11,6.6,1
276,276,22013,201979,Nick Calathes,1610612763,MEM,Memphis Grizzlies,21301216,2014-04-16,MEM vs. DAL,W,11,1,2,0.5,1,1,1.0,0,0,,1,0,1,1,1,0,1,0,3,-7,7.7,1
277,277,22013,2419,Tayshaun Prince,1610612763,MEM,Memphis Grizzlies,21301216,2014-04-16,MEM vs. DAL,W,25,2,7,0.286,0,0,,0,0,,2,3,5,2,0,0,0,0,4,6,13.0,1
287,287,22013,201144,Mike Conley,1610612763,MEM,Memphis Grizzlies,21301216,2014-04-16,MEM vs. DAL,W,42,8,16,0.5,1,5,0.2,5,7,0.714,0,4,4,5,2,0,3,4,22,8,37.3,1
359,359,22013,2419,Tayshaun Prince,1610612763,MEM,Memphis Grizzlies,21301212,2014-04-14,MEM @ PHX,W,28,1,4,0.25,0,2,0.0,2,2,1.0,0,8,8,1,1,0,2,2,4,5,16.1,1
395,395,22013,2754,Tony Allen,1610612763,MEM,Memphis Grizzlies,21301212,2014-04-14,MEM @ PHX,W,21,3,5,0.6,0,1,0.0,2,2,1.0,3,3,6,2,1,0,3,2,8,5,18.2,1
404,404,22013,201585,Kosta Koufos,1610612763,MEM,Memphis Grizzlies,21301212,2014-04-14,MEM @ PHX,W,10,0,2,0.0,0,0,,0,0,,3,1,4,1,0,0,0,1,0,-1,6.3,1
455,455,22013,201584,Courtney Lee,1610612763,MEM,Memphis Grizzlies,21301212,2014-04-14,MEM @ PHX,W,17,0,4,0.0,0,3,0.0,0,0,,0,1,1,1,0,1,3,0,0,-8,2.7,1
479,479,22013,201979,Nick Calathes,1610612763,MEM,Memphis Grizzlies,21301212,2014-04-14,MEM @ PHX,W,10,0,1,0.0,0,0,,0,0,,0,1,1,2,1,0,2,3,0,4,5.2,1
483,483,22013,201188,Marc Gasol,1610612763,MEM,Memphis Grizzlies,21301212,2014-04-14,MEM @ PHX,W,37,7,13,0.538,0,0,,4,5,0.8,1,7,8,3,0,0,3,2,18,6,29.1,1
486,486,22013,201144,Mike Conley,1610612763,MEM,Memphis Grizzlies,21301212,2014-04-14,MEM @ PHX,W,38,6,11,0.545,1,3,0.333,1,4,0.25,0,3,3,7,1,0,0,3,14,2,31.1,1
491,491,22013,2216,Zach Randolph,1610612763,MEM,Memphis Grizzlies,21301212,2014-04-14,MEM @ PHX,W,39,15,25,0.6,0,0,,2,2,1.0,3,6,9,2,1,0,1,3,32,2,47.8,1
506,506,22013,202334,Ed Davis,1610612763,MEM,Memphis Grizzlies,21301212,2014-04-14,MEM @ PHX,W,9,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,1,0,3,1.2,1
526,526,22013,2034,Mike Miller,1610612763,MEM,Memphis Grizzlies,21301212,2014-04-14,MEM @ PHX,W,30,8,11,0.727,5,6,0.833,0,0,,0,1,1,1,0,0,3,1,21,12,20.7,1
545,545,22013,201144,Mike Conley,1610612763,MEM,Memphis Grizzlies,21301203,2014-04-13,MEM @ LAL,W,34,9,12,0.75,2,3,0.667,4,4,1.0,0,1,1,8,2,0,1,2,24,14,42.2,1
555,555,22013,201979,Nick Calathes,1610612763,MEM,Memphis Grizzlies,21301203,2014-04-13,MEM @ LAL,W,14,1,4,0.25,0,1,0.0,0,0,,0,0,0,2,0,0,1,0,2,-2,4.0,1
562,562,22013,201949,James Johnson,1610612763,MEM,Memphis Grizzlies,21301203,2014-04-13,MEM @ LAL,W,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,0.0,1
575,575,22013,201584,Courtney Lee,1610612763,MEM,Memphis Grizzlies,21301203,2014-04-13,MEM @ LAL,W,30,4,11,0.364,2,4,0.5,0,0,,2,1,3,3,0,1,2,2,10,3,19.1,1
594,594,22013,2757,Beno Udrih,1610612763,MEM,Memphis Grizzlies,21301203,2014-04-13,MEM @ LAL,W,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,0.0,1
595,595,22013,2034,Mike Miller,1610612763,MEM,Memphis Grizzlies,21301203,2014-04-13,MEM @ LAL,W,24,5,7,0.714,3,4,0.75,0,0,,1,4,5,2,1,0,2,0,13,7,23.0,1
610,610,22013,201188,Marc Gasol,1610612763,MEM,Memphis Grizzlies,21301203,2014-04-13,MEM @ LAL,W,36,7,16,0.438,0,0,,4,5,0.8,4,11,15,4,3,0,3,1,18,24,48.0,1
627,627,22013,2216,Zach Randolph,1610612763,MEM,Memphis Grizzlies,21301203,2014-04-13,MEM @ LAL,W,31,4,8,0.5,0,0,,2,4,0.5,1,5,6,4,2,0,4,2,10,9,25.2,1
657,657,22013,201585,Kosta Koufos,1610612763,MEM,Memphis Grizzlies,21301203,2014-04-13,MEM @ LAL,W,8,2,3,0.667,0,0,,0,0,,1,2,3,1,0,1,1,1,4,-11,11.1,1
667,667,22013,2754,Tony Allen,1610612763,MEM,Memphis Grizzlies,21301203,2014-04-13,MEM @ LAL,W,19,4,12,0.333,0,2,0.0,0,0,,2,3,5,3,2,1,2,1,8,4,25.5,1
672,672,22013,2419,Tayshaun Prince,1610612763,MEM,Memphis Grizzlies,21301203,2014-04-13,MEM @ LAL,W,21,4,7,0.571,1,1,1.0,0,0,,1,4,5,2,0,1,0,0,9,12,21.0,1
679,679,22013,202334,Ed Davis,1610612763,MEM,Memphis Grizzlies,21301203,2014-04-13,MEM @ LAL,W,20,2,8,0.25,0,0,,0,0,,4,5,9,0,0,3,1,3,4,4,22.8,1
847,847,22013,2216,Zach Randolph,1610612763,MEM,Memphis Grizzlies,21301182,2014-04-11,MEM vs. PHI,W,29,4,12,0.333,0,0,,2,2,1.0,4,7,11,4,1,2,2,2,10,26,36.2,1
875,875,22013,2034,Mike Miller,1610612763,MEM,Memphis Grizzlies,21301182,2014-04-11,MEM vs. PHI,W,20,8,11,0.727,3,4,0.75,0,0,,0,1,1,1,0,0,1,0,19,9,20.7,1
907,907,22013,201144,Mike Conley,1610612763,MEM,Memphis Grizzlies,21301182,2014-04-11,MEM vs. PHI,W,23,0,3,0.0,0,1,0.0,2,2,1.0,0,4,4,8,1,0,3,0,2,14,18.8,1
908,908,22013,202334,Ed Davis,1610612763,MEM,Memphis Grizzlies,21301182,2014-04-11,MEM vs. PHI,W,17,1,2,0.5,0,0,,0,2,0.0,1,2,3,1,0,1,1,4,2,-7,9.1,1
943,943,22013,201949,James Johnson,1610612763,MEM,Memphis Grizzlies,21301182,2014-04-11,MEM vs. PHI,W,25,4,8,0.5,0,1,0.0,2,2,1.0,2,4,6,2,0,1,2,1,10,17,21.2,1
959,959,22013,201979,Nick Calathes,1610612763,MEM,Memphis Grizzlies,21301182,2014-04-11,MEM vs. PHI,W,25,3,7,0.429,0,1,0.0,6,9,0.667,1,4,5,4,2,0,3,2,12,8,27.0,1
965,965,22013,201188,Marc Gasol,1610612763,MEM,Memphis Grizzlies,21301182,2014-04-11,MEM vs. PHI,W,31,9,12,0.75,1,1,1.0,2,3,0.667,0,10,10,2,0,2,1,0,21,16,41.0,1
971,971,22013,203479,Jamaal Franklin,1610612763,MEM,Memphis Grizzlies,21301182,2014-04-11,MEM vs. PHI,W,5,2,2,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,0,0,5,-3,6.2,1
976,976,22013,2757,Beno Udrih,1610612763,MEM,Memphis Grizzlies,21301182,2014-04-11,MEM vs. PHI,W,6,2,2,1.0,0,0,,0,0,,0,0,0,1,0,0,1,0,4,-1,4.5,1
993,993,22013,2754,Tony Allen,1610612763,MEM,Memphis Grizzlies,21301182,2014-04-11,MEM vs. PHI,W,18,5,7,0.714,0,1,0.0,5,7,0.714,0,2,2,2,2,0,0,2,15,8,26.4,1
1004,1004,22013,202720,Jon Leuer,1610612763,MEM,Memphis Grizzlies,21301182,2014-04-11,MEM vs. PHI,W,6,1,3,0.333,0,1,0.0,0,0,,1,1,2,0,1,0,0,2,2,0,7.4,1
1028,1028,22013,201584,Courtney Lee,1610612763,MEM,Memphis Grizzlies,21301182,2014-04-11,MEM vs. PHI,W,23,3,6,0.5,0,2,0.0,3,3,1.0,0,2,2,1,1,0,1,1,9,14,14.9,1
1041,1041,22013,201585,Kosta Koufos,1610612763,MEM,Memphis Grizzlies,21301182,2014-04-11,MEM vs. PHI,W,13,2,6,0.333,0,0,,2,2,1.0,1,1,2,2,0,2,1,1,6,9,16.4,1
1177,1177,22013,2216,Zach Randolph,1610612763,MEM,Memphis Grizzlies,21301167,2014-04-09,MEM vs. MIA,W,42,12,15,0.8,1,2,0.5,0,1,0.0,3,8,11,2,1,1,3,2,25,7,44.2,1
1207,1207,22013,201144,Mike Conley,1610612763,MEM,Memphis Grizzlies,21301167,2014-04-09,MEM vs. MIA,W,41,10,18,0.556,3,7,0.429,3,4,0.75,1,2,3,6,2,0,3,2,26,9,41.6,1
1212,1212,22013,2034,Mike Miller,1610612763,MEM,Memphis Grizzlies,21301167,2014-04-09,MEM vs. MIA,W,9,0,2,0.0,0,2,0.0,0,0,,0,2,2,2,0,0,0,0,0,-9,5.4,1
1240,1240,22013,201949,James Johnson,1610612763,MEM,Memphis Grizzlies,21301167,2014-04-09,MEM vs. MIA,W,24,1,5,0.2,0,2,0.0,3,4,0.75,1,3,4,3,1,3,2,2,5,-11,24.3,1
1262,1262,22013,201979,Nick Calathes,1610612763,MEM,Memphis Grizzlies,21301167,2014-04-09,MEM vs. MIA,W,8,1,1,1.0,0,0,,0,0,,1,0,1,2,1,0,0,2,2,0,9.2,1
