,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
168,168,22022,1631207,Dalen Terry,1610612741,CHI,Chicago Bulls,22201223,2023-04-09,CHI vs. DET,W,15,3,6,0.5,0,2,0.0,4,4,1.0,0,3,3,1,3,1,0,2,10,20,27.1,1
171,171,22022,1630678,Terry Taylor,1610612741,CHI,Chicago Bulls,22201223,2023-04-09,CHI vs. DET,W,15,2,3,0.667,0,0,,1,2,0.5,2,2,4,0,0,1,0,1,5,20,12.8,1
172,172,22022,1630637,Carlik Jones,1610612741,CHI,Chicago Bulls,22201223,2023-04-09,CHI vs. DET,W,12,3,6,0.5,1,3,0.333,4,4,1.0,0,1,1,3,1,0,0,0,11,19,19.7,1
173,173,22022,1630245,Ayo Dosunmu,1610612741,CHI,Chicago Bulls,22201223,2023-04-09,CHI vs. DET,W,24,4,10,0.4,1,4,0.25,0,1,0.0,0,2,2,2,1,0,0,0,9,20,17.4,1
176,176,22022,1627884,Derrick Jones Jr.,1610612741,CHI,Chicago Bulls,22201223,2023-04-09,CHI vs. DET,W,10,2,6,0.333,0,3,0.0,0,0,,3,4,7,0,1,1,0,0,4,7,18.4,1
279,279,22022,1629632,Coby White,1610612741,CHI,Chicago Bulls,22201223,2023-04-09,CHI vs. DET,W,15,2,4,0.5,1,2,0.5,0,0,,0,3,3,1,0,0,1,0,5,-4,9.1,1
281,281,22022,201942,DeMar DeRozan,1610612741,CHI,Chicago Bulls,22201223,2023-04-09,CHI vs. DET,W,24,7,15,0.467,1,4,0.25,1,1,1.0,0,2,2,5,1,0,0,1,16,-4,28.9,1
282,282,22022,201976,Patrick Beverley,1610612741,CHI,Chicago Bulls,22201223,2023-04-09,CHI vs. DET,W,24,1,3,0.333,0,2,0.0,0,0,,0,2,2,4,3,1,0,4,2,2,22.4,1
283,283,22022,202696,Nikola Vucevic,1610612741,CHI,Chicago Bulls,22201223,2023-04-09,CHI vs. DET,W,17,4,9,0.444,0,0,,0,0,,0,7,7,0,3,0,0,1,8,9,25.4,1
284,284,22022,203083,Andre Drummond,1610612741,CHI,Chicago Bulls,22201223,2023-04-09,CHI vs. DET,W,13,3,7,0.429,0,0,,2,4,0.5,5,5,10,0,1,0,1,1,8,-9,22.0,1
285,285,22022,203897,Zach LaVine,1610612741,CHI,Chicago Bulls,22201223,2023-04-09,CHI vs. DET,W,26,6,15,0.4,1,5,0.2,4,4,1.0,0,3,3,2,0,0,1,1,17,8,22.6,1
286,286,22022,1627936,Alex Caruso,1610612741,CHI,Chicago Bulls,22201223,2023-04-09,CHI vs. DET,W,15,1,3,0.333,0,2,0.0,0,0,,0,1,1,2,0,2,0,1,2,10,12.2,1
289,289,22022,1630172,Patrick Williams,1610612741,CHI,Chicago Bulls,22201223,2023-04-09,CHI vs. DET,W,22,1,5,0.2,0,1,0.0,0,0,,1,1,2,1,1,1,0,1,2,-3,11.9,1
291,291,22022,1630250,Marko Simonovic,1610612741,CHI,Chicago Bulls,22201223,2023-04-09,CHI vs. DET,W,8,1,3,0.333,1,2,0.5,1,2,0.5,0,1,1,0,0,0,0,3,4,15,5.2,1
444,444,22022,202696,Nikola Vucevic,1610612741,CHI,Chicago Bulls,22201210,2023-04-07,CHI @ DAL,W,28,7,11,0.636,1,3,0.333,5,5,1.0,1,9,10,4,0,0,1,1,20,-5,37.0,1
