,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
290,290,22014,2045,Hedo Turkoglu,1610612746,LAC,Los Angeles Clippers,21401216,2015-04-14,LAC @ PHX,W,20,1,4,0.25,1,4,0.25,3,5,0.6,0,4,4,1,0,0,0,3,6,-9,12.3,1
293,293,22014,201175,Glen Davis,1610612746,LAC,Los Angeles Clippers,21401216,2015-04-14,LAC @ PHX,W,14,1,3,0.333,0,0,,0,0,,0,2,2,2,0,0,2,1,2,-4,5.4,1
310,310,22014,2563,Dahntay Jones,1610612746,LAC,Los Angeles Clippers,21401216,2015-04-14,LAC @ PHX,W,0,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0,1.2,1
313,313,22014,202706,Jordan Hamilton,1610612746,LAC,Los Angeles Clippers,21401216,2015-04-14,LAC @ PHX,W,4,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-7,3.0,1
314,314,22014,200755,JJ Redick,1610612746,LAC,Los Angeles Clippers,21401216,2015-04-14,LAC @ PHX,W,23,4,11,0.364,2,6,0.333,2,2,1.0,0,1,1,1,0,0,1,1,12,20,13.7,1
323,323,22014,201150,Spencer Hawes,1610612746,LAC,Los Angeles Clippers,21401216,2015-04-14,LAC @ PHX,W,18,5,7,0.714,1,2,0.5,2,2,1.0,0,1,1,1,0,1,1,3,13,-10,17.7,1
327,327,22014,2440,Matt Barnes,1610612746,LAC,Los Angeles Clippers,21401216,2015-04-14,LAC @ PHX,W,22,1,7,0.143,0,5,0.0,1,2,0.5,3,4,7,3,1,0,0,1,3,19,18.9,1
329,329,22014,201933,Blake Griffin,1610612746,LAC,Los Angeles Clippers,21401216,2015-04-14,LAC @ PHX,W,29,8,14,0.571,0,0,,4,4,1.0,0,8,8,5,2,0,1,2,20,21,42.1,1
334,334,22014,201991,Lester Hudson,1610612746,LAC,Los Angeles Clippers,21401216,2015-04-14,LAC @ PHX,W,21,4,5,0.8,3,3,1.0,0,0,,1,1,2,3,1,1,1,1,11,-10,22.9,1
341,341,22014,201599,DeAndre Jordan,1610612746,LAC,Los Angeles Clippers,21401216,2015-04-14,LAC @ PHX,W,31,6,7,0.857,0,0,,1,3,0.333,6,8,14,0,0,2,3,3,13,22,32.8,1
344,344,22014,101108,Chris Paul,1610612746,LAC,Los Angeles Clippers,21401216,2015-04-14,LAC @ PHX,W,29,8,17,0.471,6,11,0.545,0,0,,0,1,1,6,2,1,1,3,22,21,40.2,1
348,348,22014,2037,Jamal Crawford,1610612746,LAC,Los Angeles Clippers,21401216,2015-04-14,LAC @ PHX,W,29,4,12,0.333,2,7,0.286,0,0,,1,2,3,4,3,0,2,1,10,-8,26.6,1
