,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
11,11,22014,203956,Mitch McGary,1610612760,OKC,Oklahoma City Thunder,21401222,2015-04-15,OKC @ MIN,W,15,2,5,0.4,0,1,0.0,0,1,0.0,1,4,5,1,0,4,0,1,4,8,23.5,1
61,61,22014,203087,Jeremy Lamb,1610612760,OKC,Oklahoma City Thunder,21401222,2015-04-15,OKC @ MIN,W,8,2,4,0.5,0,1,0.0,0,0,,1,2,3,1,0,0,0,1,4,0,9.1,1
82,82,22014,201566,Russell Westbrook,1610612760,OKC,Oklahoma City Thunder,21401222,2015-04-15,OKC @ MIN,W,32,11,20,0.55,2,5,0.4,13,17,0.765,0,8,8,7,2,0,4,2,37,23,59.1,1
92,92,22014,201627,Anthony Morrow,1610612760,OKC,Oklahoma City Thunder,21401222,2015-04-15,OKC @ MIN,W,19,3,7,0.429,2,5,0.4,0,0,,0,0,0,0,2,0,0,3,8,3,14.0,1
152,152,22014,203500,Steven Adams,1610612760,OKC,Oklahoma City Thunder,21401222,2015-04-15,OKC @ MIN,W,21,3,3,1.0,0,0,,1,2,0.5,3,1,4,0,1,0,0,2,7,18,14.8,1
188,188,22014,2555,Nick Collison,1610612760,OKC,Oklahoma City Thunder,21401222,2015-04-15,OKC @ MIN,W,26,5,7,0.714,1,1,1.0,1,2,0.5,1,2,3,3,1,0,2,5,12,6,21.1,1
191,191,22014,202683,Enes Freedom,1610612760,OKC,Oklahoma City Thunder,21401222,2015-04-15,OKC @ MIN,W,34,11,17,0.647,0,1,0.0,3,3,1.0,8,7,15,2,0,1,1,3,25,18,48.0,1
205,205,22014,203079,Dion Waiters,1610612760,OKC,Oklahoma City Thunder,21401222,2015-04-15,OKC @ MIN,W,36,12,23,0.522,5,8,0.625,4,6,0.667,3,1,4,1,3,1,2,2,33,22,49.3,1
259,259,22014,201571,D.J. Augustin,1610612760,OKC,Oklahoma City Thunder,21401222,2015-04-15,OKC @ MIN,W,24,2,3,0.667,1,1,1.0,0,0,,0,0,0,4,0,0,3,0,5,8,8.0,1
267,267,22014,202713,Kyle Singler,1610612760,OKC,Oklahoma City Thunder,21401222,2015-04-15,OKC @ MIN,W,15,1,4,0.25,1,4,0.25,0,0,,0,2,2,1,1,0,1,2,3,9,8.9,1
279,279,22014,203460,Andre Roberson,1610612760,OKC,Oklahoma City Thunder,21401222,2015-04-15,OKC @ MIN,W,11,0,2,0.0,0,1,0.0,0,0,,1,1,2,2,0,0,0,4,0,10,5.4,1
355,355,22014,203500,Steven Adams,1610612760,OKC,Oklahoma City Thunder,21401209,2015-04-13,OKC vs. POR,W,35,2,5,0.4,0,1,0.0,4,10,0.4,6,4,10,0,2,4,0,3,8,4,38.0,1
359,359,22014,201566,Russell Westbrook,1610612760,OKC,Oklahoma City Thunder,21401209,2015-04-13,OKC vs. POR,W,38,13,27,0.481,2,5,0.4,8,8,1.0,2,9,11,7,2,0,5,5,36,16,60.7,1
498,498,22014,2555,Nick Collison,1610612760,OKC,Oklahoma City Thunder,21401209,2015-04-13,OKC vs. POR,W,24,1,5,0.2,0,1,0.0,0,0,,1,2,3,0,0,1,0,3,2,5,8.6,1
513,513,22014,203079,Dion Waiters,1610612760,OKC,Oklahoma City Thunder,21401209,2015-04-13,OKC vs. POR,W,39,4,21,0.19,0,5,0.0,5,5,1.0,2,5,7,4,3,0,1,2,13,11,35.4,1
515,515,22014,202683,Enes Freedom,1610612760,OKC,Oklahoma City Thunder,21401209,2015-04-13,OKC vs. POR,W,36,13,20,0.65,0,0,,1,2,0.5,6,7,13,1,0,0,2,2,27,13,42.1,1
560,560,22014,201627,Anthony Morrow,1610612760,OKC,Oklahoma City Thunder,21401209,2015-04-13,OKC vs. POR,W,31,4,10,0.4,2,7,0.286,1,2,0.5,1,7,8,0,1,0,0,0,11,5,23.6,1
570,570,22014,203460,Andre Roberson,1610612760,OKC,Oklahoma City Thunder,21401209,2015-04-13,OKC vs. POR,W,21,1,3,0.333,0,2,0.0,0,0,,0,4,4,0,0,1,0,3,2,3,9.8,1
571,571,22014,202713,Kyle Singler,1610612760,OKC,Oklahoma City Thunder,21401209,2015-04-13,OKC vs. POR,W,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,0,0.0,1
582,582,22014,201571,D.J. Augustin,1610612760,OKC,Oklahoma City Thunder,21401209,2015-04-13,OKC vs. POR,W,14,1,5,0.2,0,0,,0,0,,0,2,2,2,0,0,0,0,2,-2,7.4,1
603,603,22014,203460,Andre Roberson,1610612760,OKC,Oklahoma City Thunder,21401197,2015-04-12,OKC @ IND,L,24,1,2,0.5,1,2,0.5,0,0,,0,1,1,1,1,0,1,3,3,-15,7.7,1
645,645,22014,203956,Mitch McGary,1610612760,OKC,Oklahoma City Thunder,21401197,2015-04-12,OKC @ IND,L,12,3,4,0.75,0,0,,0,0,,0,3,3,1,1,0,1,2,6,-1,13.1,1
658,658,22014,201571,D.J. Augustin,1610612760,OKC,Oklahoma City Thunder,21401197,2015-04-12,OKC @ IND,L,15,0,5,0.0,0,2,0.0,0,0,,0,0,0,1,0,0,0,1,0,2,1.5,1
662,662,22014,2555,Nick Collison,1610612760,OKC,Oklahoma City Thunder,21401197,2015-04-12,OKC @ IND,L,24,0,4,0.0,0,0,,1,2,0.5,4,4,8,4,0,1,1,4,1,-11,18.6,1
