,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
99,99,22014,202087,Alonzo Gee,1610612757,POR,Portland Trail Blazers,21401218,2015-04-15,POR @ DAL,L,25,4,13,0.308,0,3,0.0,0,0,,2,5,7,0,0,0,1,3,8,-6,15.4,1
148,148,22014,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,21401218,2015-04-15,POR @ DAL,L,29,5,11,0.455,1,3,0.333,6,7,0.857,1,2,3,2,0,0,6,2,17,-21,17.6,1
177,177,22014,203086,Meyers Leonard,1610612757,POR,Portland Trail Blazers,21401218,2015-04-15,POR @ DAL,L,26,3,7,0.429,0,3,0.0,1,1,1.0,2,7,9,0,0,1,1,3,7,3,19.8,1
181,181,22014,204025,Tim Frazier,1610612757,POR,Portland Trail Blazers,21401218,2015-04-15,POR @ DAL,L,30,4,6,0.667,1,2,0.5,4,4,1.0,1,3,4,10,0,0,5,3,13,-7,27.8,1
190,190,22014,200777,Joel Freeland,1610612757,POR,Portland Trail Blazers,21401218,2015-04-15,POR @ DAL,L,23,4,7,0.571,0,0,,2,2,1.0,2,3,5,0,2,1,0,3,10,7,25.0,1
196,196,22014,203459,Allen Crabbe,1610612757,POR,Portland Trail Blazers,21401218,2015-04-15,POR @ DAL,L,32,4,13,0.308,0,4,0.0,0,1,0.0,1,4,5,3,3,0,0,5,8,-16,27.5,1
235,235,22014,200746,LaMarcus Aldridge,1610612757,POR,Portland Trail Blazers,21401218,2015-04-15,POR @ DAL,L,30,8,24,0.333,1,3,0.333,2,3,0.667,3,5,8,0,1,1,2,1,19,-17,32.6,1
255,255,22014,2581,Steve Blake,1610612757,POR,Portland Trail Blazers,21401218,2015-04-15,POR @ DAL,L,26,5,8,0.625,4,7,0.571,0,0,,0,3,3,5,1,0,3,1,14,4,25.1,1
281,281,22014,201577,Robin Lopez,1610612757,POR,Portland Trail Blazers,21401218,2015-04-15,POR @ DAL,L,20,1,2,0.5,0,0,,0,0,,0,1,1,0,0,1,1,1,2,-27,5.2,1
386,386,22014,203459,Allen Crabbe,1610612757,POR,Portland Trail Blazers,21401209,2015-04-13,POR @ OKC,L,36,2,8,0.25,0,2,0.0,0,0,,0,7,7,1,0,0,2,2,4,1,11.9,1
408,408,22014,201587,Nicolas Batum,1610612757,POR,Portland Trail Blazers,21401209,2015-04-13,POR @ OKC,L,11,0,2,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,1,1,0,-14,0.2,1
417,417,22014,203468,CJ McCollum,1610612757,POR,Portland Trail Blazers,21401209,2015-04-13,POR @ OKC,L,20,2,8,0.25,0,2,0.0,0,0,,0,2,2,4,0,1,2,0,4,1,13.4,1
449,449,22014,204025,Tim Frazier,1610612757,POR,Portland Trail Blazers,21401209,2015-04-13,POR @ OKC,L,27,1,8,0.125,1,3,0.333,0,0,,0,4,4,7,0,0,1,5,3,-8,17.3,1
456,456,22014,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,21401209,2015-04-13,POR @ OKC,L,27,3,9,0.333,1,4,0.25,3,4,0.75,0,3,3,6,1,0,2,1,10,-14,23.6,1
457,457,22014,201577,Robin Lopez,1610612757,POR,Portland Trail Blazers,21401209,2015-04-13,POR @ OKC,L,25,2,2,1.0,0,0,,0,0,,0,0,0,1,0,1,0,0,4,-8,8.5,1
493,493,22014,203086,Meyers Leonard,1610612757,POR,Portland Trail Blazers,21401209,2015-04-13,POR @ OKC,L,32,9,17,0.529,5,9,0.556,1,1,1.0,0,4,4,1,0,1,1,4,24,-6,32.3,1
495,495,22014,2549,Chris Kaman,1610612757,POR,Portland Trail Blazers,21401209,2015-04-13,POR @ OKC,L,16,7,9,0.778,0,0,,0,0,,1,3,4,1,0,0,2,3,14,-7,18.3,1
