,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
18,18,22014,201574,Jason Thompson,1610612758,SAC,Sacramento Kings,21401230,2015-04-15,SAC @ LAL,W,25,5,8,0.625,0,0,,2,4,0.5,0,7,7,2,0,0,1,2,12,13,22.4,1
42,42,22014,1889,Andre Miller,1610612758,SAC,Sacramento Kings,21401230,2015-04-15,SAC @ LAL,W,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,0.0,1
84,84,22014,204065,David Stockton,1610612758,SAC,Sacramento Kings,21401230,2015-04-15,SAC @ LAL,W,19,2,3,0.667,1,1,1.0,0,1,0.0,0,0,0,7,2,0,2,1,5,15,19.5,1
88,88,22014,201171,Carl Landry,1610612758,SAC,Sacramento Kings,21401230,2015-04-15,SAC @ LAL,W,33,4,9,0.444,0,0,,6,8,0.75,2,7,9,0,1,0,1,3,14,23,26.8,1
114,114,22014,203492,Ray McCallum,1610612758,SAC,Sacramento Kings,21401230,2015-04-15,SAC @ LAL,W,32,7,14,0.5,0,1,0.0,5,9,0.556,1,3,4,6,3,0,1,3,19,14,40.8,1
119,119,22014,203917,Nik Stauskas,1610612758,SAC,Sacramento Kings,21401230,2015-04-15,SAC @ LAL,W,32,5,9,0.556,3,4,0.75,1,2,0.5,0,5,5,5,2,0,1,3,14,10,32.5,1
137,137,22014,202682,Derrick Williams,1610612758,SAC,Sacramento Kings,21401230,2015-04-15,SAC @ LAL,W,34,9,16,0.563,2,4,0.5,2,4,0.5,0,6,6,3,0,0,2,2,22,12,31.7,1
149,149,22014,203463,Ben McLemore,1610612758,SAC,Sacramento Kings,21401230,2015-04-15,SAC @ LAL,W,40,9,18,0.5,2,7,0.286,4,6,0.667,0,5,5,7,2,0,1,1,24,21,45.5,1
182,182,22014,200797,Ryan Hollins,1610612758,SAC,Sacramento Kings,21401230,2015-04-15,SAC @ LAL,W,23,5,7,0.714,0,0,,2,7,0.286,3,3,6,0,0,4,1,1,12,10,30.2,1
400,400,22014,203463,Ben McLemore,1610612758,SAC,Sacramento Kings,21401211,2015-04-13,SAC vs. LAL,W,31,2,7,0.286,1,4,0.25,3,4,0.75,1,4,5,2,1,0,2,0,8,-4,18.0,1
403,403,22014,203917,Nik Stauskas,1610612758,SAC,Sacramento Kings,21401211,2015-04-13,SAC vs. LAL,W,21,0,4,0.0,0,2,0.0,0,0,,0,1,1,1,0,1,0,2,0,10,5.7,1
423,423,22014,1889,Andre Miller,1610612758,SAC,Sacramento Kings,21401211,2015-04-13,SAC vs. LAL,W,27,5,7,0.714,0,0,,0,0,,0,2,2,6,0,2,0,2,10,14,27.4,1
462,462,22014,201956,Omri Casspi,1610612758,SAC,Sacramento Kings,21401211,2015-04-13,SAC vs. LAL,W,37,7,14,0.5,2,5,0.4,10,13,0.769,0,9,9,6,0,0,2,2,26,5,43.8,1
470,470,22014,201574,Jason Thompson,1610612758,SAC,Sacramento Kings,21401211,2015-04-13,SAC vs. LAL,W,32,4,8,0.5,0,0,,2,4,0.5,2,8,10,2,0,3,2,2,10,6,32.0,1
529,529,22014,201171,Carl Landry,1610612758,SAC,Sacramento Kings,21401211,2015-04-13,SAC vs. LAL,W,19,5,7,0.714,0,0,,4,4,1.0,0,3,3,0,0,0,0,2,14,-2,17.6,1
541,541,22014,203492,Ray McCallum,1610612758,SAC,Sacramento Kings,21401211,2015-04-13,SAC vs. LAL,W,28,5,11,0.455,0,1,0.0,2,2,1.0,1,4,5,3,1,0,2,2,12,5,23.5,1
549,549,22014,202682,Derrick Williams,1610612758,SAC,Sacramento Kings,21401211,2015-04-13,SAC vs. LAL,W,29,6,12,0.5,1,4,0.25,7,9,0.778,0,1,1,2,1,0,1,1,20,12,26.2,1
552,552,22014,200797,Ryan Hollins,1610612758,SAC,Sacramento Kings,21401211,2015-04-13,SAC vs. LAL,W,16,1,2,0.5,0,0,,0,0,,1,4,5,0,1,0,1,1,2,4,10.0,1
636,636,22014,1889,Andre Miller,1610612758,SAC,Sacramento Kings,21401196,2015-04-12,SAC @ DEN,L,20,3,4,0.75,0,0,,3,4,0.75,0,0,0,3,0,0,1,2,9,-4,12.5,1
656,656,22014,201171,Carl Landry,1610612758,SAC,Sacramento Kings,21401196,2015-04-12,SAC @ DEN,L,17,1,1,1.0,0,0,,5,5,1.0,0,2,2,0,1,0,1,0,7,-20,11.4,1
671,671,22014,204065,David Stockton,1610612758,SAC,Sacramento Kings,21401196,2015-04-12,SAC @ DEN,L,7,0,1,0.0,0,0,,2,4,0.5,0,0,0,1,0,0,0,0,2,2,3.5,1
679,679,22014,200797,Ryan Hollins,1610612758,SAC,Sacramento Kings,21401196,2015-04-12,SAC @ DEN,L,19,4,6,0.667,0,0,,2,4,0.5,2,3,5,0,0,0,0,3,10,4,16.0,1
681,681,22014,203463,Ben McLemore,1610612758,SAC,Sacramento Kings,21401196,2015-04-12,SAC @ DEN,L,38,6,12,0.5,2,5,0.4,6,8,0.75,1,4,5,7,4,0,4,3,20,-4,44.5,1
702,702,22014,202682,Derrick Williams,1610612758,SAC,Sacramento Kings,21401196,2015-04-12,SAC @ DEN,L,29,4,11,0.364,0,3,0.0,5,5,1.0,1,2,3,2,3,0,1,1,13,-14,27.6,1
726,726,22014,203917,Nik Stauskas,1610612758,SAC,Sacramento Kings,21401196,2015-04-12,SAC @ DEN,L,21,2,8,0.25,1,5,0.2,0,0,,0,2,2,2,0,0,2,2,5,-4,8.4,1
729,729,22014,203492,Ray McCallum,1610612758,SAC,Sacramento Kings,21401196,2015-04-12,SAC @ DEN,L,29,6,10,0.6,1,2,0.5,1,2,0.5,1,2,3,3,1,0,4,1,14,-7,21.1,1
766,766,22014,201956,Omri Casspi,1610612758,SAC,Sacramento Kings,21401196,2015-04-12,SAC @ DEN,L,35,8,13,0.615,1,3,0.333,5,8,0.625,0,7,7,7,1,0,4,4,22,-14,39.9,1
773,773,22014,201574,Jason Thompson,1610612758,SAC,Sacramento Kings,21401196,2015-04-12,SAC @ DEN,L,25,4,8,0.5,0,0,,1,2,0.5,1,4,5,3,3,0,3,5,9,6,25.5,1
952,952,22014,201956,Omri Casspi,1610612758,SAC,Sacramento Kings,21401183,2015-04-10,SAC @ OKC,L,28,4,9,0.444,2,4,0.5,5,8,0.625,2,4,6,0,1,0,0,1,15,-21,25.2,1
977,977,22014,203492,Ray McCallum,1610612758,SAC,Sacramento Kings,21401183,2015-04-10,SAC @ OKC,L,38,8,11,0.727,1,2,0.5,0,0,,1,5,6,4,1,0,1,3,17,-2,32.2,1
992,992,22014,201171,Carl Landry,1610612758,SAC,Sacramento Kings,21401183,2015-04-10,SAC @ OKC,L,15,2,5,0.4,0,0,,2,2,1.0,1,5,6,0,0,1,3,2,6,-2,13.2,1
1003,1003,22014,1889,Andre Miller,1610612758,SAC,Sacramento Kings,21401183,2015-04-10,SAC @ OKC,L,24,2,4,0.5,0,1,0.0,4,6,0.667,2,2,4,8,0,0,3,1,8,-5,21.8,1
1032,1032,22014,202682,Derrick Williams,1610612758,SAC,Sacramento Kings,21401183,2015-04-10,SAC @ OKC,L,26,5,15,0.333,0,4,0.0,7,9,0.778,3,3,6,1,0,0,2,2,17,-19,23.7,1
1055,1055,22014,200797,Ryan Hollins,1610612758,SAC,Sacramento Kings,21401183,2015-04-10,SAC @ OKC,L,14,3,5,0.6,0,0,,0,0,,0,2,2,0,0,0,0,5,6,0,8.4,1
1077,1077,22014,203463,Ben McLemore,1610612758,SAC,Sacramento Kings,21401183,2015-04-10,SAC @ OKC,L,35,8,17,0.471,4,10,0.4,0,0,,1,3,4,1,0,1,5,2,20,-1,24.3,1
1091,1091,22014,2501,Reggie Evans,1610612758,SAC,Sacramento Kings,21401183,2015-04-10,SAC @ OKC,L,6,0,3,0.0,0,0,,0,0,,1,0,1,0,1,0,0,0,0,-6,4.2,1
1113,1113,22014,204021,Sim Bhullar,1610612758,SAC,Sacramento Kings,21401183,2015-04-10,SAC @ OKC,L,1,0,0,,0,0,,0,0,,0,0,0,1,0,1,0,0,0,3,4.5,1
