,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
57,57,22015,202730,Lavoy Allen,1610612754,IND,Indiana Pacers,21501225,2016-04-13,IND @ MIL,W,25,7,12,0.583,0,0,,0,0,,3,3,6,0,0,0,0,4,14,18,21.2,1
59,59,22015,203922,Glenn Robinson III,1610612754,IND,Indiana Pacers,21501225,2016-04-13,IND @ MIL,W,28,6,12,0.5,2,3,0.667,0,0,,0,2,2,2,1,0,1,0,14,3,21.4,1
122,122,22015,1626202,Joe Young,1610612754,IND,Indiana Pacers,21501225,2016-04-13,IND @ MIL,W,23,3,13,0.231,1,5,0.2,0,0,,0,4,4,7,1,0,3,0,7,3,22.3,1
187,187,22015,203524,Solomon Hill,1610612754,IND,Indiana Pacers,21501225,2016-04-13,IND @ MIL,W,33,8,15,0.533,7,11,0.636,2,2,1.0,0,6,6,3,4,0,2,2,25,7,46.7,1
191,191,22015,201951,Ty Lawson,1610612754,IND,Indiana Pacers,21501225,2016-04-13,IND @ MIL,W,26,3,7,0.429,1,2,0.5,1,2,0.5,0,1,1,6,0,0,3,0,8,3,15.2,1
204,204,22015,201155,Rodney Stuckey,1610612754,IND,Indiana Pacers,21501225,2016-04-13,IND @ MIL,W,23,4,8,0.5,0,2,0.0,4,4,1.0,0,4,4,6,0,0,2,0,12,1,23.8,1
220,220,22015,1626167,Myles Turner,1610612754,IND,Indiana Pacers,21501225,2016-04-13,IND @ MIL,W,22,2,5,0.4,0,0,,0,0,,1,4,5,1,2,2,2,4,4,-1,21.5,1
221,221,22015,1626176,Rakeem Christmas,1610612754,IND,Indiana Pacers,21501225,2016-04-13,IND @ MIL,W,6,2,2,1.0,0,0,,0,0,,1,0,1,0,0,0,0,1,4,-10,5.2,1
228,228,22015,203963,Shayne Whittington,1610612754,IND,Indiana Pacers,21501225,2016-04-13,IND @ MIL,W,24,3,7,0.429,0,1,0.0,1,2,0.5,4,4,8,0,0,0,3,2,7,0,13.6,1
237,237,22015,201941,Jordan Hill,1610612754,IND,Indiana Pacers,21501225,2016-04-13,IND @ MIL,W,30,1,9,0.111,0,0,,0,0,,3,8,11,3,0,1,1,1,2,1,21.7,1
290,290,22015,101133,Ian Mahinmi,1610612754,IND,Indiana Pacers,21501212,2016-04-12,IND vs. NYK,W,30,6,9,0.667,0,0,,2,2,1.0,2,6,8,0,0,0,2,2,14,15,21.6,1
301,301,22015,201588,George Hill,1610612754,IND,Indiana Pacers,21501212,2016-04-12,IND vs. NYK,W,37,8,12,0.667,3,5,0.6,0,1,0.0,0,3,3,2,2,1,3,3,19,12,31.6,1
314,314,22015,202730,Lavoy Allen,1610612754,IND,Indiana Pacers,21501212,2016-04-12,IND vs. NYK,W,19,2,5,0.4,0,0,,0,0,,3,2,5,1,0,1,0,1,4,0,14.5,1
326,326,22015,101145,Monta Ellis,1610612754,IND,Indiana Pacers,21501212,2016-04-12,IND vs. NYK,W,24,3,7,0.429,1,3,0.333,1,2,0.5,0,0,0,3,3,0,2,0,8,6,19.5,1
345,345,22015,203524,Solomon Hill,1610612754,IND,Indiana Pacers,21501212,2016-04-12,IND vs. NYK,W,34,3,8,0.375,0,2,0.0,0,0,,1,10,11,2,1,0,0,2,6,16,25.2,1
362,362,22015,201155,Rodney Stuckey,1610612754,IND,Indiana Pacers,21501212,2016-04-12,IND vs. NYK,W,26,4,10,0.4,0,2,0.0,2,4,0.5,1,2,3,4,2,0,0,0,10,3,25.6,1
369,369,22015,201951,Ty Lawson,1610612754,IND,Indiana Pacers,21501212,2016-04-12,IND vs. NYK,W,24,4,8,0.5,1,2,0.5,0,0,,1,1,2,8,0,0,2,0,9,6,21.4,1
371,371,22015,202331,Paul George,1610612754,IND,Indiana Pacers,21501212,2016-04-12,IND vs. NYK,W,29,6,12,0.5,1,5,0.2,6,7,0.857,0,4,4,6,2,0,2,0,19,5,36.8,1
380,380,22015,1626167,Myles Turner,1610612754,IND,Indiana Pacers,21501212,2016-04-12,IND vs. NYK,W,18,5,9,0.556,0,0,,3,4,0.75,0,5,5,0,0,1,2,2,13,-3,20.0,1
572,572,22015,201588,George Hill,1610612754,IND,Indiana Pacers,21501199,2016-04-10,IND vs. BKN,W,21,6,10,0.6,4,6,0.667,2,2,1.0,0,5,5,4,1,0,0,0,18,14,33.0,1
577,577,22015,202331,Paul George,1610612754,IND,Indiana Pacers,21501199,2016-04-10,IND vs. BKN,W,22,5,9,0.556,1,4,0.25,4,4,1.0,3,2,5,6,1,0,5,3,15,19,28.0,1
598,598,22015,203524,Solomon Hill,1610612754,IND,Indiana Pacers,21501199,2016-04-10,IND vs. BKN,W,32,6,9,0.667,0,1,0.0,1,2,0.5,2,10,12,3,2,0,4,0,13,2,33.9,1
619,619,22015,1626202,Joe Young,1610612754,IND,Indiana Pacers,21501199,2016-04-10,IND vs. BKN,W,12,0,4,0.0,0,2,0.0,0,0,,0,1,1,3,0,0,1,0,0,-8,4.7,1
679,679,22015,1626167,Myles Turner,1610612754,IND,Indiana Pacers,21501199,2016-04-10,IND vs. BKN,W,26,11,17,0.647,0,0,,6,7,0.857,1,9,10,1,1,2,4,3,28,6,46.5,1
682,682,22015,203922,Glenn Robinson III,1610612754,IND,Indiana Pacers,21501199,2016-04-10,IND vs. BKN,W,12,1,4,0.25,1,2,0.5,0,0,,1,0,1,1,0,1,2,3,3,-8,6.7,1
697,697,22015,201155,Rodney Stuckey,1610612754,IND,Indiana Pacers,21501199,2016-04-10,IND vs. BKN,W,15,2,4,0.5,0,2,0.0,4,4,1.0,0,3,3,2,1,0,2,2,8,18,15.6,1
