,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
32,32,22015,201600,Omer Asik,1610612740,NOP,New Orleans Pelicans,21501226,2016-04-13,NOP @ MIN,L,32,10,13,0.769,0,0,,4,6,0.667,3,8,11,1,1,0,2,1,24,-14,39.7,1
61,61,22015,203516,James Ennis III,1610612740,NOP,New Orleans Pelicans,21501226,2016-04-13,NOP @ MIN,L,40,11,20,0.55,6,11,0.545,0,0,,1,1,2,0,1,0,0,4,28,-16,33.4,1
73,73,22015,202706,Jordan Hamilton,1610612740,NOP,New Orleans Pelicans,21501226,2016-04-13,NOP @ MIN,L,35,2,10,0.2,1,6,0.167,1,2,0.5,1,6,7,5,0,0,1,1,6,-44,20.9,1
109,109,22015,201962,Toney Douglas,1610612740,NOP,New Orleans Pelicans,21501226,2016-04-13,NOP @ MIN,L,42,6,13,0.462,2,5,0.4,8,8,1.0,3,1,4,5,4,0,3,2,22,-21,43.3,1
135,135,22015,204025,Tim Frazier,1610612740,NOP,New Orleans Pelicans,21501226,2016-04-13,NOP @ MIN,L,36,3,15,0.2,0,2,0.0,0,0,,1,3,4,15,1,0,3,4,6,-21,33.3,1
196,196,22015,201967,Dante Cunningham,1610612740,NOP,New Orleans Pelicans,21501226,2016-04-13,NOP @ MIN,L,35,6,14,0.429,2,6,0.333,3,4,0.75,0,0,0,2,0,0,1,3,17,-28,19.0,1
235,235,22015,2570,Kendrick Perkins,1610612740,NOP,New Orleans Pelicans,21501226,2016-04-13,NOP @ MIN,L,20,2,7,0.286,0,0,,2,2,1.0,1,4,5,3,0,0,6,1,6,-31,10.5,1
383,383,22015,201962,Toney Douglas,1610612740,NOP,New Orleans Pelicans,21501208,2016-04-11,NOP vs. CHI,L,33,8,13,0.615,3,6,0.5,2,2,1.0,0,2,2,3,1,0,0,1,21,9,30.9,1
397,397,22015,202337,Luke Babbitt,1610612740,NOP,New Orleans Pelicans,21501208,2016-04-11,NOP vs. CHI,L,35,2,10,0.2,0,2,0.0,3,3,1.0,4,1,5,4,0,0,3,3,7,0,16.0,1
448,448,22015,202706,Jordan Hamilton,1610612740,NOP,New Orleans Pelicans,21501208,2016-04-11,NOP vs. CHI,L,24,5,10,0.5,3,6,0.5,2,3,0.667,0,3,3,2,0,0,2,4,15,-3,19.6,1
450,450,22015,203516,James Ennis III,1610612740,NOP,New Orleans Pelicans,21501208,2016-04-11,NOP vs. CHI,L,40,9,14,0.643,5,8,0.625,6,7,0.857,2,3,5,4,1,1,1,3,29,-9,46.0,1
475,475,22015,2570,Kendrick Perkins,1610612740,NOP,New Orleans Pelicans,21501208,2016-04-11,NOP vs. CHI,L,17,0,1,0.0,0,0,,0,0,,1,3,4,1,0,1,1,2,0,-10,8.3,1
504,504,22015,204025,Tim Frazier,1610612740,NOP,New Orleans Pelicans,21501208,2016-04-11,NOP vs. CHI,L,33,6,15,0.4,1,3,0.333,7,9,0.778,1,5,6,11,3,0,2,5,20,-8,50.7,1
538,538,22015,201600,Omer Asik,1610612740,NOP,New Orleans Pelicans,21501208,2016-04-11,NOP vs. CHI,L,24,6,8,0.75,0,0,,2,4,0.5,2,5,7,1,3,0,1,1,14,4,31.9,1
565,565,22015,201967,Dante Cunningham,1610612740,NOP,New Orleans Pelicans,21501208,2016-04-11,NOP vs. CHI,L,35,5,9,0.556,0,1,0.0,0,0,,0,1,1,2,0,0,0,4,10,-8,14.2,1
767,767,22015,203516,James Ennis III,1610612740,NOP,New Orleans Pelicans,21501189,2016-04-09,NOP vs. PHX,L,34,8,16,0.5,2,6,0.333,0,0,,4,2,6,0,3,0,3,3,18,-3,31.2,1
775,775,22015,202706,Jordan Hamilton,1610612740,NOP,New Orleans Pelicans,21501189,2016-04-09,NOP vs. PHX,L,27,4,12,0.333,1,4,0.25,4,4,1.0,1,4,5,1,2,1,0,4,13,-7,29.5,1
779,779,22015,2570,Kendrick Perkins,1610612740,NOP,New Orleans Pelicans,21501189,2016-04-09,NOP vs. PHX,L,16,0,2,0.0,0,0,,1,2,0.5,1,3,4,1,0,0,2,3,1,1,5.3,1
790,790,22015,201967,Dante Cunningham,1610612740,NOP,New Orleans Pelicans,21501189,2016-04-09,NOP vs. PHX,L,30,5,11,0.455,0,1,0.0,3,5,0.6,0,1,1,2,1,0,0,2,13,-23,20.2,1
798,798,22015,201582,Alexis Ajinca,1610612740,NOP,New Orleans Pelicans,21501189,2016-04-09,NOP vs. PHX,L,23,2,9,0.222,0,0,,0,0,,3,1,4,1,0,1,3,3,4,-22,10.3,1
831,831,22015,202337,Luke Babbitt,1610612740,NOP,New Orleans Pelicans,21501189,2016-04-09,NOP vs. PHX,L,34,7,16,0.438,0,1,0.0,3,3,1.0,1,8,9,2,0,0,0,5,17,-7,30.8,1
