,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
62,62,22022,1629656,Quentin Grimes,1610612752,NYK,New York Knicks,22201220,2023-04-09,NYK vs. IND,L,32,8,13,0.615,5,10,0.5,1,1,1.0,0,1,1,3,0,0,0,4,22,14,27.7,1
66,66,22022,1630167,Obi Toppin,1610612752,NYK,New York Knicks,22201220,2023-04-09,NYK vs. IND,L,37,13,23,0.565,5,10,0.5,3,3,1.0,1,6,7,5,2,0,1,2,34,7,54.9,1
68,68,22022,203095,Evan Fournier,1610612752,NYK,New York Knicks,22201220,2023-04-09,NYK vs. IND,L,12,0,4,0.0,0,3,0.0,0,0,,0,1,1,0,0,0,1,1,0,-16,0.2,1
70,70,22022,1628392,Isaiah Hartenstein,1610612752,NYK,New York Knicks,22201220,2023-04-09,NYK vs. IND,L,21,4,7,0.571,0,0,,0,0,,0,2,2,5,1,0,0,2,8,-23,20.9,1
71,71,22022,1628404,Josh Hart,1610612752,NYK,New York Knicks,22201220,2023-04-09,NYK vs. IND,L,26,5,9,0.556,0,1,0.0,0,0,,3,8,11,4,1,1,2,2,10,-29,33.2,1
73,73,22022,1629628,RJ Barrett,1610612752,NYK,New York Knicks,22201220,2023-04-09,NYK vs. IND,L,37,7,16,0.438,1,3,0.333,3,5,0.6,1,1,2,3,1,0,3,6,18,7,24.9,1
74,74,22022,1630540,Miles McBride,1610612752,NYK,New York Knicks,22201220,2023-04-09,NYK vs. IND,L,12,2,4,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,0,2,5,-12,5.0,1
76,76,22022,1630193,Immanuel Quickley,1610612752,NYK,New York Knicks,22201220,2023-04-09,NYK vs. IND,L,37,9,22,0.409,3,11,0.273,9,9,1.0,0,9,9,7,2,0,5,3,30,9,52.3,1
78,78,22022,1629011,Mitchell Robinson,1610612752,NYK,New York Knicks,22201220,2023-04-09,NYK vs. IND,L,27,4,10,0.4,0,0,,1,4,0.25,14,6,20,2,1,7,3,2,9,18,57.0,1
395,395,22022,203095,Evan Fournier,1610612752,NYK,New York Knicks,22201209,2023-04-07,NYK @ NOP,L,15,3,7,0.429,2,5,0.4,0,0,,0,1,1,0,1,0,0,0,8,-7,12.2,1
435,435,22022,1628392,Isaiah Hartenstein,1610612752,NYK,New York Knicks,22201209,2023-04-07,NYK @ NOP,L,19,0,1,0.0,0,0,,0,0,,0,3,3,5,0,1,1,5,0,-11,13.1,1
