,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
62,62,22015,203098,John Jenkins,1610612756,PHX,Phoenix Suns,21501229,2016-04-13,PHX vs. LAC,W,21,3,5,0.6,1,2,0.5,0,0,,0,2,2,3,0,0,0,1,7,-4,13.9,1
79,79,22015,203141,Mirza Teletovic,1610612756,PHX,Phoenix Suns,21501229,2016-04-13,PHX vs. LAC,W,28,8,19,0.421,2,7,0.286,4,4,1.0,4,5,9,2,0,0,2,3,22,2,33.8,1
86,86,22015,201978,Chase Budinger,1610612756,PHX,Phoenix Suns,21501229,2016-04-13,PHX vs. LAC,W,16,3,5,0.6,0,1,0.0,0,0,,3,2,5,2,2,0,0,0,6,0,21.0,1
89,89,22015,203462,Archie Goodwin,1610612756,PHX,Phoenix Suns,21501229,2016-04-13,PHX vs. LAC,W,30,5,16,0.313,0,4,0.0,0,1,0.0,1,2,3,5,2,0,1,1,10,-4,26.1,1
131,131,22015,101179,Ronnie Price,1610612756,PHX,Phoenix Suns,21501229,2016-04-13,PHX vs. LAC,W,18,1,4,0.25,1,4,0.25,0,0,,0,1,1,4,1,0,2,0,3,13,11.2,1
133,133,22015,1626210,Alan Williams,1610612756,PHX,Phoenix Suns,21501229,2016-04-13,PHX vs. LAC,W,22,5,9,0.556,0,0,,4,5,0.8,3,9,12,2,1,3,2,4,14,2,41.4,1
139,139,22015,202720,Jon Leuer,1610612756,PHX,Phoenix Suns,21501229,2016-04-13,PHX vs. LAC,W,20,7,8,0.875,0,0,,2,2,1.0,6,8,14,2,2,1,1,1,16,7,43.8,1
208,208,22015,203458,Alex Len,1610612756,PHX,Phoenix Suns,21501229,2016-04-13,PHX vs. LAC,W,28,4,10,0.4,0,0,,2,4,0.5,0,3,3,1,0,0,1,0,10,11,14.1,1
244,244,22015,200782,P.J. Tucker,1610612756,PHX,Phoenix Suns,21501229,2016-04-13,PHX vs. LAC,W,30,5,9,0.556,1,3,0.333,3,4,0.75,1,6,7,3,1,0,2,3,14,5,27.9,1
256,256,22015,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,21501229,2016-04-13,PHX vs. LAC,W,27,4,14,0.286,2,5,0.4,2,2,1.0,0,2,2,2,1,1,5,2,12,13,18.4,1
385,385,22015,203458,Alex Len,1610612756,PHX,Phoenix Suns,21501211,2016-04-11,PHX vs. SAC,L,37,7,18,0.389,0,0,,2,4,0.5,3,9,12,1,0,1,3,6,16,-5,31.9,1
402,402,22015,200782,P.J. Tucker,1610612756,PHX,Phoenix Suns,21501211,2016-04-11,PHX vs. SAC,L,34,6,11,0.545,1,2,0.5,2,3,0.667,5,5,10,4,2,0,0,3,15,-2,39.0,1
443,443,22015,203098,John Jenkins,1610612756,PHX,Phoenix Suns,21501211,2016-04-11,PHX vs. SAC,L,19,1,6,0.167,0,3,0.0,0,0,,0,1,1,3,0,0,2,2,2,-16,5.7,1
461,461,22015,1626210,Alan Williams,1610612756,PHX,Phoenix Suns,21501211,2016-04-11,PHX vs. SAC,L,9,1,3,0.333,0,0,,0,0,,3,3,6,0,1,0,1,0,2,-2,11.2,1
491,491,22015,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,21501211,2016-04-11,PHX vs. SAC,L,33,8,20,0.4,0,5,0.0,6,6,1.0,1,3,4,4,1,1,4,5,22,4,34.8,1
544,544,22015,203141,Mirza Teletovic,1610612756,PHX,Phoenix Suns,21501211,2016-04-11,PHX vs. SAC,L,34,10,20,0.5,4,10,0.4,2,2,1.0,1,2,3,1,2,0,3,4,26,-6,34.1,1
545,545,22015,101179,Ronnie Price,1610612756,PHX,Phoenix Suns,21501211,2016-04-11,PHX vs. SAC,L,35,3,10,0.3,0,2,0.0,0,0,,3,2,5,7,1,0,1,2,6,1,24.5,1
547,547,22015,202720,Jon Leuer,1610612756,PHX,Phoenix Suns,21501211,2016-04-11,PHX vs. SAC,L,28,5,11,0.455,0,0,,2,2,1.0,1,9,10,0,1,1,4,1,12,12,26.0,1
549,549,22015,201978,Chase Budinger,1610612756,PHX,Phoenix Suns,21501211,2016-04-11,PHX vs. SAC,L,10,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,1,2,0,-6,0.5,1
783,783,22015,101179,Ronnie Price,1610612756,PHX,Phoenix Suns,21501189,2016-04-09,PHX @ NOP,W,23,1,2,0.5,1,2,0.5,0,0,,0,0,0,1,2,0,2,4,3,3,8.5,1
802,802,22015,203098,John Jenkins,1610612756,PHX,Phoenix Suns,21501189,2016-04-09,PHX @ NOP,W,17,3,7,0.429,0,3,0.0,1,1,1.0,0,1,1,2,0,0,1,1,7,5,10.2,1
814,814,22015,202720,Jon Leuer,1610612756,PHX,Phoenix Suns,21501189,2016-04-09,PHX @ NOP,W,20,3,7,0.429,0,0,,2,4,0.5,0,8,8,1,0,0,0,1,8,0,19.1,1
