,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
11,11,22015,202066,Garrett Temple,1610612764,WAS,Washington Wizards,21501221,2016-04-13,WAS vs. ATL,W,16,4,7,0.571,2,4,0.5,2,3,0.667,0,1,1,1,1,1,6,0,12,-20,14.7,1
23,23,22015,1626162,Kelly Oubre Jr.,1610612764,WAS,Washington Wizards,21501221,2016-04-13,WAS vs. ATL,W,26,3,8,0.375,0,1,0.0,0,2,0.0,0,3,3,0,0,1,2,3,6,-3,10.6,1
48,48,22015,201581,JJ Hickson,1610612764,WAS,Washington Wizards,21501221,2016-04-13,WAS vs. ATL,W,19,2,7,0.286,0,0,,2,8,0.25,5,7,12,1,0,1,1,1,6,-11,23.9,1
105,105,22015,2400,Drew Gooden,1610612764,WAS,Washington Wizards,21501221,2016-04-13,WAS vs. ATL,W,2,0,0,,0,0,,1,2,0.5,0,0,0,0,1,0,0,0,1,-3,4.0,1
107,107,22015,201196,Ramon Sessions,1610612764,WAS,Washington Wizards,21501221,2016-04-13,WAS vs. ATL,W,34,9,16,0.563,3,5,0.6,1,2,0.5,0,4,4,6,1,0,5,5,22,29,33.8,1
121,121,22015,101187,Alan Anderson,1610612764,WAS,Washington Wizards,21501221,2016-04-13,WAS vs. ATL,W,12,1,4,0.25,1,3,0.333,0,0,,0,4,4,1,1,0,0,4,3,-16,12.3,1
132,132,22015,201162,Jared Dudley,1610612764,WAS,Washington Wizards,21501221,2016-04-13,WAS vs. ATL,W,33,5,8,0.625,1,4,0.25,3,4,0.75,2,4,6,4,2,0,1,3,14,30,32.2,1
140,140,22015,201977,Marcus Thornton,1610612764,WAS,Washington Wizards,21501221,2016-04-13,WAS vs. ATL,W,26,6,14,0.429,1,4,0.25,1,1,1.0,0,5,5,2,1,0,1,1,14,16,25.0,1
231,231,22015,203490,Otto Porter Jr.,1610612764,WAS,Washington Wizards,21501221,2016-04-13,WAS vs. ATL,W,22,2,7,0.286,0,4,0.0,1,1,1.0,0,3,3,1,3,1,0,1,5,14,22.1,1
232,232,22015,204067,Jarell Eddie,1610612764,WAS,Washington Wizards,21501221,2016-04-13,WAS vs. ATL,W,21,2,5,0.4,1,3,0.333,2,2,1.0,1,4,5,1,1,0,0,1,7,-3,17.5,1
262,262,22015,2403,Nene,1610612764,WAS,Washington Wizards,21501221,2016-04-13,WAS vs. ATL,W,29,8,12,0.667,0,0,,3,5,0.6,3,5,8,8,3,0,3,3,19,22,46.6,1
413,413,22015,201581,JJ Hickson,1610612764,WAS,Washington Wizards,21501206,2016-04-11,WAS @ BKN,W,24,6,10,0.6,0,0,,3,6,0.5,2,4,6,2,0,1,2,1,15,2,26.2,1
452,452,22015,201977,Marcus Thornton,1610612764,WAS,Washington Wizards,21501206,2016-04-11,WAS @ BKN,W,32,7,15,0.467,2,6,0.333,3,3,1.0,3,5,8,2,2,0,2,1,19,7,35.6,1
462,462,22015,101187,Alan Anderson,1610612764,WAS,Washington Wizards,21501206,2016-04-11,WAS @ BKN,W,18,2,8,0.25,0,2,0.0,0,0,,0,0,0,3,0,0,0,2,4,1,8.5,1
463,463,22015,203490,Otto Porter Jr.,1610612764,WAS,Washington Wizards,21501206,2016-04-11,WAS @ BKN,W,18,3,5,0.6,2,3,0.667,2,2,1.0,0,2,2,0,1,0,1,3,10,-1,14.4,1
478,478,22015,1626162,Kelly Oubre Jr.,1610612764,WAS,Washington Wizards,21501206,2016-04-11,WAS @ BKN,W,29,6,10,0.6,1,3,0.333,1,2,0.5,0,6,6,0,1,0,1,4,14,8,23.2,1
495,495,22015,204067,Jarell Eddie,1610612764,WAS,Washington Wizards,21501206,2016-04-11,WAS @ BKN,W,21,3,13,0.231,1,6,0.167,0,0,,0,4,4,1,1,0,0,0,7,4,16.3,1
519,519,22015,201162,Jared Dudley,1610612764,WAS,Washington Wizards,21501206,2016-04-11,WAS @ BKN,W,22,4,6,0.667,0,1,0.0,0,0,,2,4,6,5,1,0,0,2,8,4,25.7,1
