,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
301,301,22016,1626163,Frank Kaminsky,1610612766,CHA,Charlotte Hornets,21601212,2017-04-11,CHA @ ATL,L,25,3,11,0.273,0,3,0.0,0,1,0.0,0,1,1,2,0,0,1,1,6,-19,9.2,1
315,315,22016,203469,Cody Zeller,1610612766,CHA,Charlotte Hornets,21601212,2017-04-11,CHA @ ATL,L,22,1,3,0.333,0,0,,2,2,1.0,2,4,6,2,0,0,0,3,4,-9,14.2,1
339,339,22016,203101,Miles Plumlee,1610612766,CHA,Charlotte Hornets,21601212,2017-04-11,CHA @ ATL,L,26,0,5,0.0,0,0,,0,0,,4,3,7,1,1,1,1,3,0,-18,14.9,1
348,348,22016,201587,Nicolas Batum,1610612766,CHA,Charlotte Hornets,21601212,2017-04-11,CHA @ ATL,L,10,0,3,0.0,0,1,0.0,0,0,,0,1,1,4,1,0,0,0,0,-8,10.2,1
349,349,22016,203148,Brian Roberts,1610612766,CHA,Charlotte Hornets,21601212,2017-04-11,CHA @ ATL,L,28,2,7,0.286,0,3,0.0,0,0,,0,1,1,1,1,0,3,0,4,-12,6.7,1
355,355,22016,203087,Jeremy Lamb,1610612766,CHA,Charlotte Hornets,21601212,2017-04-11,CHA @ ATL,L,33,7,18,0.389,1,7,0.143,6,6,1.0,2,3,5,2,2,0,3,1,21,-17,33.0,1
358,358,22016,203077,Michael Kidd-Gilchrist,1610612766,CHA,Charlotte Hornets,21601212,2017-04-11,CHA @ ATL,L,20,4,10,0.4,0,0,,2,2,1.0,3,3,6,1,1,0,0,4,10,-9,21.7,1
366,366,22016,101107,Marvin Williams,1610612766,CHA,Charlotte Hornets,21601212,2017-04-11,CHA @ ATL,L,13,2,9,0.222,1,4,0.25,2,2,1.0,3,3,6,0,2,0,1,1,7,-5,19.2,1
393,393,22016,1626174,Christian Wood,1610612766,CHA,Charlotte Hornets,21601212,2017-04-11,CHA @ ATL,L,13,2,3,0.667,0,0,,0,2,0.0,1,2,3,0,0,0,1,1,4,-6,6.6,1
395,395,22016,1627362,Briante Weber,1610612766,CHA,Charlotte Hornets,21601212,2017-04-11,CHA @ ATL,L,24,3,9,0.333,1,3,0.333,3,4,0.75,0,0,0,2,1,0,2,3,10,-17,14.0,1
