,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
3,3,22016,1627868,Patricio Garino,1610612753,ORL,Orlando Magic,21601217,2017-04-12,ORL vs. DET,W,12,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,2,2,0,2,-2.0,1
14,14,22016,1627875,Marcus Georges-Hunt,1610612753,ORL,Orlando Magic,21601217,2017-04-12,ORL vs. DET,W,10,0,0,,0,0,,4,4,1.0,0,0,0,1,0,0,1,0,4,-4,4.5,1
19,19,22016,203095,Evan Fournier,1610612753,ORL,Orlando Magic,21601217,2017-04-12,ORL vs. DET,W,27,4,11,0.364,2,4,0.5,2,2,1.0,0,3,3,2,0,0,1,1,12,11,17.6,1
29,29,22016,1627757,Stephen Zimmerman,1610612753,ORL,Orlando Magic,21601217,2017-04-12,ORL vs. DET,W,9,1,2,0.5,0,0,,0,0,,0,1,1,0,0,1,1,3,2,-6,5.2,1
55,55,22016,203082,Terrence Ross,1610612753,ORL,Orlando Magic,21601217,2017-04-12,ORL vs. DET,W,22,1,2,0.5,0,1,0.0,0,0,,0,3,3,3,2,1,1,1,2,10,18.1,1
56,56,22016,202687,Bismack Biyombo,1610612753,ORL,Orlando Magic,21601217,2017-04-12,ORL vs. DET,W,9,1,3,0.333,0,0,,0,0,,2,1,3,1,0,0,0,1,2,-5,7.1,1
65,65,22016,201571,D.J. Augustin,1610612753,ORL,Orlando Magic,21601217,2017-04-12,ORL vs. DET,W,17,0,1,0.0,0,1,0.0,0,0,,0,2,2,4,0,0,1,1,0,-13,7.4,1
74,74,22016,201975,Jodie Meeks,1610612753,ORL,Orlando Magic,21601217,2017-04-12,ORL vs. DET,W,18,3,7,0.429,3,5,0.6,3,4,0.75,0,0,0,1,0,0,2,2,12,-19,11.5,1
107,107,22016,203901,Elfrid Payton,1610612753,ORL,Orlando Magic,21601217,2017-04-12,ORL vs. DET,W,31,10,18,0.556,1,1,1.0,0,0,,0,5,5,13,0,0,1,3,21,17,45.5,1
140,140,22016,202696,Nikola Vucevic,1610612753,ORL,Orlando Magic,21601217,2017-04-12,ORL vs. DET,W,27,8,15,0.533,2,2,1.0,0,0,,1,10,11,1,2,2,0,4,18,11,44.7,1
241,241,22016,1626209,Mario Hezonja,1610612753,ORL,Orlando Magic,21601217,2017-04-12,ORL vs. DET,W,23,3,7,0.429,2,3,0.667,0,0,,1,10,11,1,2,0,1,2,8,-1,27.7,1
256,256,22016,203932,Aaron Gordon,1610612753,ORL,Orlando Magic,21601217,2017-04-12,ORL vs. DET,W,35,11,20,0.55,3,7,0.429,7,7,1.0,2,10,12,0,1,2,0,2,32,17,55.4,1
401,401,22016,202696,Nikola Vucevic,1610612753,ORL,Orlando Magic,21601206,2017-04-10,ORL @ CHI,L,27,6,14,0.429,1,1,1.0,1,2,0.5,5,5,10,2,0,1,2,1,14,-23,30.0,2
431,431,22016,203901,Elfrid Payton,1610612753,ORL,Orlando Magic,21601206,2017-04-10,ORL @ CHI,L,25,5,13,0.385,1,4,0.25,0,1,0.0,2,5,7,4,0,0,2,1,11,-20,23.4,2
449,449,22016,202687,Bismack Biyombo,1610612753,ORL,Orlando Magic,21601206,2017-04-10,ORL @ CHI,L,17,2,4,0.5,0,0,,3,3,1.0,1,6,7,0,2,2,1,3,7,-17,26.4,2
468,468,22016,1626209,Mario Hezonja,1610612753,ORL,Orlando Magic,21601206,2017-04-10,ORL @ CHI,L,32,2,9,0.222,2,6,0.333,1,2,0.5,0,0,0,1,2,0,0,0,7,-26,14.5,2
508,508,22016,203932,Aaron Gordon,1610612753,ORL,Orlando Magic,21601206,2017-04-10,ORL @ CHI,L,29,4,6,0.667,0,0,,2,2,1.0,1,5,6,2,0,0,2,1,10,-29,18.2,2
548,548,22016,1627868,Patricio Garino,1610612753,ORL,Orlando Magic,21601206,2017-04-10,ORL @ CHI,L,12,0,1,0.0,0,1,0.0,0,0,,0,4,4,0,0,0,1,1,0,-14,3.8,2
558,558,22016,204014,Damjan Rudez,1610612753,ORL,Orlando Magic,21601206,2017-04-10,ORL @ CHI,L,6,1,3,0.333,0,0,,0,0,,0,0,0,0,1,0,0,0,2,-11,5.0,2
559,559,22016,203095,Evan Fournier,1610612753,ORL,Orlando Magic,21601206,2017-04-10,ORL @ CHI,L,28,6,13,0.462,1,4,0.25,1,1,1.0,0,0,0,3,0,1,3,2,14,-21,18.5,2
565,565,22016,1627875,Marcus Georges-Hunt,1610612753,ORL,Orlando Magic,21601206,2017-04-10,ORL @ CHI,L,12,0,2,0.0,0,0,,2,2,1.0,0,1,1,2,0,0,0,2,2,-14,6.2,2
575,575,22016,203082,Terrence Ross,1610612753,ORL,Orlando Magic,21601206,2017-04-10,ORL @ CHI,L,17,1,5,0.2,0,2,0.0,1,1,1.0,0,1,1,1,0,1,0,4,3,-15,8.7,2
584,584,22016,201975,Jodie Meeks,1610612753,ORL,Orlando Magic,21601206,2017-04-10,ORL @ CHI,L,14,0,5,0.0,0,3,0.0,0,0,,0,0,0,1,0,0,2,1,0,-18,-0.5,2
