,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
27,27,22016,201980,Danny Green,1610612759,SAS,San Antonio Spurs,21601227,2017-04-12,SAS @ UTA,L,20,1,6,0.167,0,2,0.0,0,0,,2,2,4,2,2,1,1,1,2,-7,17.8,1
39,39,22016,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,21601227,2017-04-12,SAS @ UTA,L,5,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-2,2.0,1
47,47,22016,202722,Davis Bertans,1610612759,SAS,San Antonio Spurs,21601227,2017-04-12,SAS @ UTA,L,12,2,5,0.4,2,5,0.4,1,1,1.0,0,1,1,0,1,0,1,1,7,6,10.2,1
67,67,22016,1938,Manu Ginobili,1610612759,SAS,San Antonio Spurs,21601227,2017-04-12,SAS @ UTA,L,18,1,3,0.333,1,3,0.333,2,2,1.0,0,2,2,2,1,0,2,1,5,-1,11.4,1
68,68,22016,201988,Patty Mills,1610612759,SAS,San Antonio Spurs,21601227,2017-04-12,SAS @ UTA,L,19,3,5,0.6,2,2,1.0,0,0,,0,2,2,5,1,0,1,1,8,-1,19.9,1
104,104,22016,203613,Jonathon Simmons,1610612759,SAS,San Antonio Spurs,21601227,2017-04-12,SAS @ UTA,L,13,1,4,0.25,0,1,0.0,0,0,,1,1,2,1,0,0,2,0,2,-6,3.9,1
116,116,22016,203937,Kyle Anderson,1610612759,SAS,San Antonio Spurs,21601227,2017-04-12,SAS @ UTA,L,16,3,7,0.429,1,2,0.5,1,1,1.0,0,2,2,2,1,0,0,3,8,9,16.4,1
133,133,22016,202695,Kawhi Leonard,1610612759,SAS,San Antonio Spurs,21601227,2017-04-12,SAS @ UTA,L,31,5,13,0.385,1,2,0.5,3,3,1.0,1,4,5,2,1,0,1,2,14,-3,25.0,1
135,135,22016,200746,LaMarcus Aldridge,1610612759,SAS,San Antonio Spurs,21601227,2017-04-12,SAS @ UTA,L,34,9,14,0.643,0,1,0.0,0,0,,2,3,5,0,3,1,1,1,18,1,35.0,1
158,158,22016,203473,Dewayne Dedmon,1610612759,SAS,San Antonio Spurs,21601227,2017-04-12,SAS @ UTA,L,14,1,4,0.25,0,0,,0,2,0.0,5,3,8,0,0,0,2,1,2,-8,9.6,1
204,204,22016,101135,David Lee,1610612759,SAS,San Antonio Spurs,21601227,2017-04-12,SAS @ UTA,L,13,1,3,0.333,0,0,,0,0,,1,2,3,0,0,0,2,0,2,-8,3.6,1
287,287,22016,2200,Pau Gasol,1610612759,SAS,San Antonio Spurs,21601227,2017-04-12,SAS @ UTA,L,23,6,13,0.462,1,2,0.5,0,0,,3,4,7,0,1,0,0,3,13,1,24.4,1
298,298,22016,2225,Tony Parker,1610612759,SAS,San Antonio Spurs,21601227,2017-04-12,SAS @ UTA,L,24,5,8,0.625,0,1,0.0,4,4,1.0,0,1,1,2,1,0,2,2,14,-1,19.2,1
402,402,22016,203613,Jonathon Simmons,1610612759,SAS,San Antonio Spurs,21601209,2017-04-10,SAS @ POR,L,12,3,6,0.5,0,0,,1,3,0.333,0,0,0,1,0,0,0,1,7,-6,8.5,1
406,406,22016,200746,LaMarcus Aldridge,1610612759,SAS,San Antonio Spurs,21601209,2017-04-10,SAS @ POR,L,18,5,8,0.625,0,1,0.0,2,2,1.0,0,4,4,0,0,1,0,1,12,-9,19.8,1
467,467,22016,203937,Kyle Anderson,1610612759,SAS,San Antonio Spurs,21601209,2017-04-10,SAS @ POR,L,24,2,6,0.333,0,1,0.0,2,2,1.0,1,3,4,2,3,0,2,0,6,6,20.8,1
475,475,22016,2225,Tony Parker,1610612759,SAS,San Antonio Spurs,21601209,2017-04-10,SAS @ POR,L,20,5,7,0.714,0,0,,2,2,1.0,0,2,2,4,0,0,0,2,12,-4,20.4,1
480,480,22016,1938,Manu Ginobili,1610612759,SAS,San Antonio Spurs,21601209,2017-04-10,SAS @ POR,L,16,4,7,0.571,3,4,0.75,0,0,,0,0,0,1,0,0,3,0,11,6,9.5,1
489,489,22016,203473,Dewayne Dedmon,1610612759,SAS,San Antonio Spurs,21601209,2017-04-10,SAS @ POR,L,22,1,4,0.25,0,0,,1,2,0.5,5,3,8,0,0,1,1,4,3,-16,14.6,1
500,500,22016,101135,David Lee,1610612759,SAS,San Antonio Spurs,21601209,2017-04-10,SAS @ POR,L,28,2,6,0.333,0,0,,3,6,0.5,5,3,8,2,0,2,2,0,7,12,23.6,1
541,541,22016,202695,Kawhi Leonard,1610612759,SAS,San Antonio Spurs,21601209,2017-04-10,SAS @ POR,L,20,8,11,0.727,1,2,0.5,1,1,1.0,0,0,0,0,1,1,2,0,18,-2,22.0,1
556,556,22016,201980,Danny Green,1610612759,SAS,San Antonio Spurs,21601209,2017-04-10,SAS @ POR,L,20,2,5,0.4,1,4,0.25,0,0,,0,4,4,2,0,1,0,0,5,-1,15.8,1
578,578,22016,1627854,Bryn Forbes,1610612759,SAS,San Antonio Spurs,21601209,2017-04-10,SAS @ POR,L,12,1,4,0.25,1,3,0.333,0,0,,0,1,1,1,0,0,2,2,3,-6,3.7,1
580,580,22016,202722,Davis Bertans,1610612759,SAS,San Antonio Spurs,21601209,2017-04-10,SAS @ POR,L,13,1,4,0.25,0,3,0.0,0,0,,1,1,2,1,0,2,0,3,2,-9,11.9,1
583,583,22016,201988,Patty Mills,1610612759,SAS,San Antonio Spurs,21601209,2017-04-10,SAS @ POR,L,16,2,5,0.4,1,2,0.5,0,0,,0,1,1,2,0,0,3,1,5,9,6.2,1
585,585,22016,2200,Pau Gasol,1610612759,SAS,San Antonio Spurs,21601209,2017-04-10,SAS @ POR,L,18,2,10,0.2,1,1,1.0,2,2,1.0,1,12,13,1,0,1,0,1,7,15,27.1,1
748,748,22016,101135,David Lee,1610612759,SAS,San Antonio Spurs,21601193,2017-04-08,SAS vs. LAC,L,13,3,6,0.5,0,0,,0,0,,0,0,0,0,0,0,0,0,6,-2,6.0,1
783,783,22016,202695,Kawhi Leonard,1610612759,SAS,San Antonio Spurs,21601193,2017-04-08,SAS vs. LAC,L,35,10,19,0.526,5,8,0.625,3,4,0.75,0,5,5,5,1,0,3,1,28,-7,41.5,1
786,786,22016,201202,Joel Anthony,1610612759,SAS,San Antonio Spurs,21601193,2017-04-08,SAS vs. LAC,L,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,1
790,790,22016,2225,Tony Parker,1610612759,SAS,San Antonio Spurs,21601193,2017-04-08,SAS vs. LAC,L,20,1,5,0.2,0,1,0.0,0,0,,0,0,0,2,0,0,0,2,2,-10,5.0,1
829,829,22016,203937,Kyle Anderson,1610612759,SAS,San Antonio Spurs,21601193,2017-04-08,SAS vs. LAC,L,15,0,1,0.0,0,1,0.0,0,0,,1,3,4,2,0,0,2,1,0,-1,5.8,1
830,830,22016,202722,Davis Bertans,1610612759,SAS,San Antonio Spurs,21601193,2017-04-08,SAS vs. LAC,L,2,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,1
837,837,22016,1938,Manu Ginobili,1610612759,SAS,San Antonio Spurs,21601193,2017-04-08,SAS vs. LAC,L,21,1,4,0.25,1,1,1.0,0,0,,0,4,4,2,0,0,3,2,3,-13,7.8,1
841,841,22016,2200,Pau Gasol,1610612759,SAS,San Antonio Spurs,21601193,2017-04-08,SAS vs. LAC,L,27,4,8,0.5,1,3,0.333,6,7,0.857,1,6,7,1,0,1,1,2,15,-7,26.9,1
845,845,22016,1627854,Bryn Forbes,1610612759,SAS,San Antonio Spurs,21601193,2017-04-08,SAS vs. LAC,L,5,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,1,0,1,1.2,1
847,847,22016,201988,Patty Mills,1610612759,SAS,San Antonio Spurs,21601193,2017-04-08,SAS vs. LAC,L,24,1,6,0.167,1,3,0.333,0,0,,0,3,3,2,1,0,1,0,3,-4,11.6,1
869,869,22016,200746,LaMarcus Aldridge,1610612759,SAS,San Antonio Spurs,21601193,2017-04-08,SAS vs. LAC,L,36,9,17,0.529,0,1,0.0,0,0,,0,2,2,0,1,1,2,3,18,-9,24.4,1
895,895,22016,203473,Dewayne Dedmon,1610612759,SAS,San Antonio Spurs,21601193,2017-04-08,SAS vs. LAC,L,15,2,6,0.333,0,0,,0,1,0.0,5,5,10,2,0,1,1,3,4,-5,21.0,1
906,906,22016,203613,Jonathon Simmons,1610612759,SAS,San Antonio Spurs,21601193,2017-04-08,SAS vs. LAC,L,26,3,6,0.5,0,2,0.0,2,2,1.0,0,4,4,4,0,0,0,2,8,2,18.8,1
927,927,22016,203473,Dewayne Dedmon,1610612759,SAS,San Antonio Spurs,21601183,2017-04-07,SAS @ DAL,W,18,5,10,0.5,0,0,,0,1,0.0,4,9,13,1,0,1,0,1,10,-4,30.1,1
955,955,22016,202722,Davis Bertans,1610612759,SAS,San Antonio Spurs,21601183,2017-04-07,SAS @ DAL,W,39,7,13,0.538,5,9,0.556,0,0,,3,1,4,1,2,0,1,0,19,7,30.3,1
956,956,22016,203613,Jonathon Simmons,1610612759,SAS,San Antonio Spurs,21601183,2017-04-07,SAS @ DAL,W,38,5,19,0.263,0,5,0.0,2,4,0.5,0,5,5,2,1,0,0,1,12,7,24.0,1
957,957,22016,1627854,Bryn Forbes,1610612759,SAS,San Antonio Spurs,21601183,2017-04-07,SAS @ DAL,W,29,10,19,0.526,4,9,0.444,3,3,1.0,0,3,3,6,0,0,1,3,27,9,38.6,1
1006,1006,22016,101135,David Lee,1610612759,SAS,San Antonio Spurs,21601183,2017-04-07,SAS @ DAL,W,31,6,16,0.375,0,0,,4,4,1.0,6,7,13,5,0,0,1,1,16,16,38.1,1
1008,1008,22016,201202,Joel Anthony,1610612759,SAS,San Antonio Spurs,21601183,2017-04-07,SAS @ DAL,W,30,2,2,1.0,0,0,,3,6,0.5,1,8,9,1,0,2,1,1,7,17,24.3,1
1086,1086,22016,201988,Patty Mills,1610612759,SAS,San Antonio Spurs,21601183,2017-04-07,SAS @ DAL,W,18,1,7,0.143,0,4,0.0,0,0,,0,1,1,5,0,0,2,1,2,-3,8.7,1
1097,1097,22016,203937,Kyle Anderson,1610612759,SAS,San Antonio Spurs,21601183,2017-04-07,SAS @ DAL,W,38,4,10,0.4,0,1,0.0,1,4,0.25,2,8,10,5,3,2,0,3,9,16,43.5,1
1227,1227,22016,203613,Jonathon Simmons,1610612759,SAS,San Antonio Spurs,21601170,2017-04-05,SAS vs. LAL,L,32,3,8,0.375,3,5,0.6,0,0,,0,1,1,4,1,0,3,1,9,3,16.2,1
1266,1266,22016,202722,Davis Bertans,1610612759,SAS,San Antonio Spurs,21601170,2017-04-05,SAS vs. LAL,L,23,5,11,0.455,4,10,0.4,0,0,,0,1,1,1,0,1,2,2,14,-1,17.7,1
1267,1267,22016,2200,Pau Gasol,1610612759,SAS,San Antonio Spurs,21601170,2017-04-05,SAS vs. LAL,L,18,2,8,0.25,1,3,0.333,4,5,0.8,0,8,8,2,0,1,2,0,9,-5,22.6,1
1283,1283,22016,1627854,Bryn Forbes,1610612759,SAS,San Antonio Spurs,21601170,2017-04-05,SAS vs. LAL,L,24,3,10,0.3,2,7,0.286,0,0,,0,1,1,2,0,0,3,1,8,-12,9.2,1
1311,1311,22016,201988,Patty Mills,1610612759,SAS,San Antonio Spurs,21601170,2017-04-05,SAS vs. LAL,L,18,2,8,0.25,1,6,0.167,0,0,,0,0,0,4,0,0,0,0,5,-10,11.0,1
1340,1340,22016,203937,Kyle Anderson,1610612759,SAS,San Antonio Spurs,21601170,2017-04-05,SAS vs. LAL,L,28,5,8,0.625,1,1,1.0,0,0,,2,5,7,1,0,1,0,3,11,0,23.9,1
1351,1351,22016,200746,LaMarcus Aldridge,1610612759,SAS,San Antonio Spurs,21601170,2017-04-05,SAS vs. LAL,L,16,4,11,0.364,0,0,,0,0,,3,3,6,1,2,1,0,0,8,2,25.7,1
1356,1356,22016,202695,Kawhi Leonard,1610612759,SAS,San Antonio Spurs,21601170,2017-04-05,SAS vs. LAL,L,14,5,8,0.625,1,2,0.5,0,0,,0,2,2,3,2,1,1,1,11,-2,25.9,1
1358,1358,22016,203473,Dewayne Dedmon,1610612759,SAS,San Antonio Spurs,21601170,2017-04-05,SAS vs. LAL,L,25,0,2,0.0,0,0,,0,0,,1,5,6,0,1,1,0,2,0,-9,13.2,1
1376,1376,22016,2225,Tony Parker,1610612759,SAS,San Antonio Spurs,21601170,2017-04-05,SAS vs. LAL,L,16,7,11,0.636,0,1,0.0,0,1,0.0,0,1,1,4,1,0,2,0,14,4,22.2,1
1383,1383,22016,101135,David Lee,1610612759,SAS,San Antonio Spurs,21601170,2017-04-05,SAS vs. LAL,L,26,3,4,0.75,0,0,,0,0,,1,3,4,6,1,2,1,3,6,-5,27.8,1
