,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
260,260,22017,1628499,Antonius Cleveland,1610612737,ATL,Atlanta Hawks,21701214,2018-04-10,ATL vs. PHI,L,13,2,2,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,6,5,-20,5.0,1
278,278,22017,1628381,John Collins,1610612737,ATL,Atlanta Hawks,21701214,2018-04-10,ATL vs. PHI,L,31,5,10,0.5,1,2,0.5,2,5,0.4,3,6,9,5,1,0,2,2,13,3,32.3,1
292,292,22017,203488,Mike Muscala,1610612737,ATL,Atlanta Hawks,21701214,2018-04-10,ATL vs. PHI,L,23,3,7,0.429,1,4,0.25,2,2,1.0,2,2,4,2,0,0,0,1,9,-11,16.8,1
311,311,22017,203101,Miles Plumlee,1610612737,ATL,Atlanta Hawks,21701214,2018-04-10,ATL vs. PHI,L,17,1,1,1.0,0,0,,2,2,1.0,1,2,3,0,0,0,0,2,4,-12,7.6,1
315,315,22017,1627819,Isaiah Taylor,1610612737,ATL,Atlanta Hawks,21701214,2018-04-10,ATL vs. PHI,L,28,5,15,0.333,0,1,0.0,0,0,,0,3,3,4,1,0,3,3,10,-9,19.6,1
345,345,22017,1627814,Damion Lee,1610612737,ATL,Atlanta Hawks,21701214,2018-04-10,ATL vs. PHI,L,29,3,11,0.273,0,4,0.0,1,2,0.5,0,3,3,0,1,0,0,4,7,6,13.6,1
363,363,22017,1627761,DeAndre' Bembry,1610612737,ATL,Atlanta Hawks,21701214,2018-04-10,ATL vs. PHI,L,22,3,7,0.429,0,0,,1,2,0.5,0,4,4,7,5,0,2,2,7,6,35.3,1
369,369,22017,1627752,Taurean Prince,1610612737,ATL,Atlanta Hawks,21701214,2018-04-10,ATL vs. PHI,L,31,9,25,0.36,6,18,0.333,3,4,0.75,2,2,4,6,1,0,3,1,27,6,40.8,1
373,373,22017,203473,Dewayne Dedmon,1610612737,ATL,Atlanta Hawks,21701214,2018-04-10,ATL vs. PHI,L,25,4,8,0.5,0,1,0.0,6,7,0.857,0,7,7,2,0,3,0,1,14,4,34.4,1
378,378,22017,1628416,Tyler Dorsey,1610612737,ATL,Atlanta Hawks,21701214,2018-04-10,ATL vs. PHI,L,21,6,12,0.5,4,6,0.667,1,2,0.5,0,2,2,1,1,0,0,2,17,-13,23.9,1
