,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
9,9,22017,203499,Shane Larkin,1610612738,BOS,Boston Celtics,21701219,2018-04-11,BOS vs. BKN,W,26,5,12,0.417,2,5,0.4,0,0,,2,8,10,7,0,0,0,1,12,22,34.5,1
32,32,22017,1628400,Semi Ojeleye,1610612738,BOS,Boston Celtics,21701219,2018-04-11,BOS vs. BKN,W,28,3,8,0.375,1,4,0.25,0,0,,1,5,6,0,0,1,0,1,7,10,17.2,1
77,77,22017,1627824,Guerschon Yabusele,1610612738,BOS,Boston Celtics,21701219,2018-04-11,BOS vs. BKN,W,28,6,10,0.6,1,2,0.5,3,3,1.0,2,3,5,1,2,1,0,2,16,9,32.5,1
157,157,22017,203382,Aron Baynes,1610612738,BOS,Boston Celtics,21701219,2018-04-11,BOS vs. BKN,W,20,12,23,0.522,0,1,0.0,2,2,1.0,9,5,14,2,0,0,1,1,26,22,44.8,1
182,182,22017,202328,Greg Monroe,1610612738,BOS,Boston Celtics,21701219,2018-04-11,BOS vs. BKN,W,21,4,9,0.444,0,0,,1,2,0.5,0,9,9,4,1,2,1,2,9,-7,33.8,1
200,200,22017,1628444,Jabari Bird,1610612738,BOS,Boston Celtics,21701219,2018-04-11,BOS vs. BKN,W,29,2,6,0.333,0,1,0.0,3,4,0.75,2,5,7,1,1,0,4,2,7,4,15.9,1
204,204,22017,1626780,Jonathan Gibson,1610612738,BOS,Boston Celtics,21701219,2018-04-11,BOS vs. BKN,W,25,8,13,0.615,2,5,0.4,0,0,,0,2,2,2,0,0,3,2,18,-3,20.4,1
216,216,22017,1627846,Abdel Nader,1610612738,BOS,Boston Celtics,21701219,2018-04-11,BOS vs. BKN,W,39,4,15,0.267,0,3,0.0,1,2,0.5,3,5,8,2,1,1,1,1,9,20,26.6,1
220,220,22017,1628443,Kadeem Allen,1610612738,BOS,Boston Celtics,21701219,2018-04-11,BOS vs. BKN,W,24,2,6,0.333,0,3,0.0,2,2,1.0,1,0,1,3,1,1,3,2,6,-12,14.7,1
263,263,22017,202328,Greg Monroe,1610612738,BOS,Boston Celtics,21701215,2018-04-10,BOS @ WAS,L,19,4,6,0.667,0,0,,2,3,0.667,2,4,6,2,2,0,2,5,10,-9,24.2,1
268,268,22017,1628444,Jabari Bird,1610612738,BOS,Boston Celtics,21701215,2018-04-10,BOS @ WAS,L,3,1,1,1.0,1,1,1.0,0,0,,0,0,0,1,0,0,0,0,3,5,4.5,1
310,310,22017,1626179,Terry Rozier,1610612738,BOS,Boston Celtics,21701215,2018-04-10,BOS @ WAS,L,33,2,12,0.167,1,7,0.143,3,4,0.75,0,4,4,6,0,0,1,2,8,-11,20.8,1
340,340,22017,1626780,Jonathan Gibson,1610612738,BOS,Boston Celtics,21701215,2018-04-10,BOS @ WAS,L,3,2,2,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,1,5,5,5.0,1
343,343,22017,203382,Aron Baynes,1610612738,BOS,Boston Celtics,21701215,2018-04-10,BOS @ WAS,L,21,2,7,0.286,1,2,0.5,0,0,,4,2,6,0,2,1,1,3,5,-5,20.2,1
344,344,22017,202694,Marcus Morris Sr.,1610612738,BOS,Boston Celtics,21701215,2018-04-10,BOS @ WAS,L,23,2,10,0.2,0,4,0.0,2,2,1.0,0,3,3,1,0,0,2,0,6,-8,9.1,1
356,356,22017,201143,Al Horford,1610612738,BOS,Boston Celtics,21701215,2018-04-10,BOS @ WAS,L,32,3,10,0.3,0,3,0.0,4,4,1.0,5,9,14,3,1,0,2,0,10,-4,32.3,1
366,366,22017,1628400,Semi Ojeleye,1610612738,BOS,Boston Celtics,21701215,2018-04-10,BOS @ WAS,L,22,2,4,0.5,1,2,0.5,0,0,,1,1,2,0,0,0,3,3,5,-11,4.4,1
376,376,22017,1628443,Kadeem Allen,1610612738,BOS,Boston Celtics,21701215,2018-04-10,BOS @ WAS,L,3,2,2,1.0,0,0,,2,3,0.667,1,2,3,3,0,0,0,0,6,5,14.1,1
385,385,22017,1628369,Jayson Tatum,1610612738,BOS,Boston Celtics,21701215,2018-04-10,BOS @ WAS,L,26,3,11,0.273,2,3,0.667,4,5,0.8,0,3,3,2,4,0,2,1,12,-11,28.6,1
387,387,22017,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,21701215,2018-04-10,BOS @ WAS,L,32,8,18,0.444,6,10,0.6,5,6,0.833,0,1,1,2,2,0,3,1,27,-8,34.2,1
388,388,22017,1627846,Abdel Nader,1610612738,BOS,Boston Celtics,21701215,2018-04-10,BOS @ WAS,L,3,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,5,2.0,1
391,391,22017,203499,Shane Larkin,1610612738,BOS,Boston Celtics,21701215,2018-04-10,BOS @ WAS,L,21,1,3,0.333,0,0,,0,0,,0,2,2,2,3,0,0,2,2,-13,16.4,1
592,592,22017,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,21701202,2018-04-08,BOS vs. ATL,L,28,5,10,0.5,0,2,0.0,2,5,0.4,0,2,2,2,1,1,1,0,12,7,22.4,1
596,596,22017,1628369,Jayson Tatum,1610612738,BOS,Boston Celtics,21701202,2018-04-08,BOS vs. ATL,L,29,8,12,0.667,1,1,1.0,2,3,0.667,2,2,4,2,4,0,0,5,19,6,38.8,1
600,600,22017,1626179,Terry Rozier,1610612738,BOS,Boston Celtics,21701202,2018-04-08,BOS vs. ATL,L,27,4,9,0.444,2,5,0.4,0,0,,0,8,8,9,0,1,3,2,10,9,33.1,1
610,610,22017,1628400,Semi Ojeleye,1610612738,BOS,Boston Celtics,21701202,2018-04-08,BOS vs. ATL,L,27,5,7,0.714,3,3,1.0,0,0,,0,6,6,1,0,1,0,2,13,-10,24.7,1
640,640,22017,1626780,Jonathan Gibson,1610612738,BOS,Boston Celtics,21701202,2018-04-08,BOS vs. ATL,L,3,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,2,-4,2.0,1
660,660,22017,203499,Shane Larkin,1610612738,BOS,Boston Celtics,21701202,2018-04-08,BOS vs. ATL,L,21,2,9,0.222,0,5,0.0,2,4,0.5,1,1,2,7,1,0,1,2,6,-15,20.9,1
678,678,22017,202328,Greg Monroe,1610612738,BOS,Boston Celtics,21701202,2018-04-08,BOS vs. ATL,L,22,7,8,0.875,0,0,,3,4,0.75,1,1,2,4,1,0,2,1,17,-7,26.4,1
692,692,22017,1628444,Jabari Bird,1610612738,BOS,Boston Celtics,21701202,2018-04-08,BOS vs. ATL,L,22,4,5,0.8,1,1,1.0,0,0,,2,3,5,2,0,0,1,3,9,-14,17.0,1
714,714,22017,203382,Aron Baynes,1610612738,BOS,Boston Celtics,21701202,2018-04-08,BOS vs. ATL,L,23,1,7,0.143,0,2,0.0,0,0,,2,2,4,1,0,2,2,3,2,2,12.3,1
724,724,22017,1627846,Abdel Nader,1610612738,BOS,Boston Celtics,21701202,2018-04-08,BOS vs. ATL,L,10,0,2,0.0,0,0,,0,0,,0,1,1,1,1,0,2,0,0,-7,3.7,1
731,731,22017,201143,Al Horford,1610612738,BOS,Boston Celtics,21701202,2018-04-08,BOS vs. ATL,L,27,5,11,0.455,2,3,0.667,4,4,1.0,2,5,7,4,1,1,0,0,16,5,36.4,1
735,735,22017,1628443,Kadeem Allen,1610612738,BOS,Boston Celtics,21701202,2018-04-08,BOS vs. ATL,L,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,0.0,1
