,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
13,13,22022,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,22201228,2023-04-09,LAL vs. UTA,W,34,7,15,0.467,0,0,,2,2,1.0,3,10,13,3,3,4,4,2,16,10,53.1,1
15,15,22022,1626156,D'Angelo Russell,1610612747,LAL,Los Angeles Lakers,22201228,2023-04-09,LAL vs. UTA,W,33,6,13,0.462,3,8,0.375,2,3,0.667,0,2,2,5,0,1,2,1,17,10,27.9,1
18,18,22022,1628964,Mo Bamba,1610612747,LAL,Los Angeles Lakers,22201228,2023-04-09,LAL vs. UTA,W,1,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0,1.2,1
19,19,22022,1628972,Troy Brown Jr.,1610612747,LAL,Los Angeles Lakers,22201228,2023-04-09,LAL vs. UTA,W,18,2,5,0.4,1,3,0.333,1,2,0.5,0,4,4,1,0,0,0,0,6,-5,12.3,1
20,20,22022,1629020,Jarred Vanderbilt,1610612747,LAL,Los Angeles Lakers,22201228,2023-04-09,LAL vs. UTA,W,19,5,7,0.714,0,1,0.0,2,2,1.0,2,2,4,1,0,0,1,2,12,6,17.3,1
22,22,22022,1631108,Max Christie,1610612747,LAL,Los Angeles Lakers,22201228,2023-04-09,LAL vs. UTA,W,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,1
23,23,22022,1631306,Cole Swider,1610612747,LAL,Los Angeles Lakers,22201228,2023-04-09,LAL vs. UTA,W,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,1
238,238,22022,1630559,Austin Reaves,1610612747,LAL,Los Angeles Lakers,22201228,2023-04-09,LAL vs. UTA,W,34,3,5,0.6,3,4,0.75,3,3,1.0,0,4,4,6,0,0,0,2,12,20,25.8,1
242,242,22022,1629117,Wenyen Gabriel,1610612747,LAL,Los Angeles Lakers,22201228,2023-04-09,LAL vs. UTA,W,16,2,3,0.667,0,0,,0,0,,0,4,4,1,0,0,1,1,4,4,9.3,1
243,243,22022,1629060,Rui Hachimura,1610612747,LAL,Los Angeles Lakers,22201228,2023-04-09,LAL vs. UTA,W,23,5,14,0.357,0,6,0.0,2,3,0.667,2,3,5,2,0,1,0,0,12,-4,24.0,1
245,245,22022,1627736,Malik Beasley,1610612747,LAL,Los Angeles Lakers,22201228,2023-04-09,LAL vs. UTA,W,27,4,10,0.4,3,9,0.333,2,4,0.5,2,4,6,3,0,0,0,1,13,-6,24.7,1
246,246,22022,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,22201228,2023-04-09,LAL vs. UTA,W,33,13,25,0.52,8,14,0.571,2,2,1.0,1,5,6,6,1,1,2,0,36,20,56.2,1
514,514,22022,1630559,Austin Reaves,1610612747,LAL,Los Angeles Lakers,22201212,2023-04-07,LAL vs. PHX,W,31,9,13,0.692,1,4,0.25,3,5,0.6,0,0,0,5,1,0,2,1,22,18,30.5,1
515,515,22022,1629117,Wenyen Gabriel,1610612747,LAL,Los Angeles Lakers,22201212,2023-04-07,LAL vs. PHX,W,8,0,0,,0,0,,0,0,,0,3,3,0,1,1,1,0,0,-3,8.6,1
