,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
32,32,22018,1626210,Alan Williams,1610612751,BKN,Brooklyn Nets,21801221,2019-04-10,BKN vs. MIA,W,4,2,3,0.667,0,0,,0,0,,0,2,2,0,0,0,0,0,4,4,6.4,1
64,64,22018,202334,Ed Davis,1610612751,BKN,Brooklyn Nets,21801221,2019-04-10,BKN vs. MIA,W,15,3,5,0.6,0,0,,0,0,,3,7,10,0,0,0,0,0,6,10,18.0,1
71,71,22018,203894,Shabazz Napier,1610612751,BKN,Brooklyn Nets,21801221,2019-04-10,BKN vs. MIA,W,30,7,17,0.412,6,13,0.462,0,0,,3,2,5,5,0,0,0,3,20,16,33.5,1
93,93,22018,203915,Spencer Dinwiddie,1610612751,BKN,Brooklyn Nets,21801221,2019-04-10,BKN vs. MIA,W,25,3,8,0.375,2,7,0.286,0,0,,0,0,0,5,0,0,2,2,8,-10,13.5,1
124,124,22018,1627747,Caris LeVert,1610612751,BKN,Brooklyn Nets,21801221,2019-04-10,BKN vs. MIA,W,20,4,5,0.8,1,1,1.0,1,1,1.0,1,2,3,4,0,0,2,2,10,15,17.6,1
135,135,22018,1629033,Theo Pinson,1610612751,BKN,Brooklyn Nets,21801221,2019-04-10,BKN vs. MIA,W,19,2,7,0.286,0,4,0.0,0,0,,2,2,4,2,1,0,3,2,4,2,11.8,1
142,142,22018,1626156,D'Angelo Russell,1610612751,BKN,Brooklyn Nets,21801221,2019-04-10,BKN vs. MIA,W,20,7,13,0.538,7,11,0.636,0,0,,2,5,7,5,1,0,1,0,21,27,38.9,1
173,173,22018,1628386,Jarrett Allen,1610612751,BKN,Brooklyn Nets,21801221,2019-04-10,BKN vs. MIA,W,22,0,4,0.0,0,0,,1,2,0.5,0,14,14,2,0,2,1,2,1,-2,25.8,1
183,183,22018,1629058,Dzanan Musa,1610612751,BKN,Brooklyn Nets,21801221,2019-04-10,BKN vs. MIA,W,5,1,2,0.5,1,1,1.0,0,0,,0,1,1,1,0,0,0,0,3,6,5.7,1
194,194,22018,1626203,Treveon Graham,1610612751,BKN,Brooklyn Nets,21801221,2019-04-10,BKN vs. MIA,W,27,4,17,0.235,3,11,0.273,0,0,,1,0,1,1,0,0,0,0,11,3,13.7,1
