,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
41,41,22018,201584,Courtney Lee,1610612742,DAL,Dallas Mavericks,21801227,2019-04-10,DAL @ SAS,L,20,6,9,0.667,2,4,0.5,0,0,,0,3,3,2,1,0,1,1,14,-2,22.6,1
73,73,22018,2734,Devin Harris,1610612742,DAL,Dallas Mavericks,21801227,2019-04-10,DAL @ SAS,L,34,5,11,0.455,0,4,0.0,2,2,1.0,0,2,2,4,0,2,1,4,12,-10,25.4,1
76,76,22018,1717,Dirk Nowitzki,1610612742,DAL,Dallas Mavericks,21801227,2019-04-10,DAL @ SAS,L,32,8,21,0.381,2,6,0.333,2,2,1.0,0,10,10,1,1,0,0,2,20,-11,36.5,1
79,79,22018,1628973,Jalen Brunson,1610612742,DAL,Dallas Mavericks,21801227,2019-04-10,DAL @ SAS,L,30,5,13,0.385,1,4,0.25,0,2,0.0,0,3,3,10,0,0,4,0,11,-11,25.6,1
80,80,22018,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,21801227,2019-04-10,DAL @ SAS,L,24,2,10,0.2,1,4,0.25,0,0,,1,2,3,2,0,0,0,3,5,-5,11.6,1
123,123,22018,203939,Dwight Powell,1610612742,DAL,Dallas Mavericks,21801227,2019-04-10,DAL @ SAS,L,33,1,3,0.333,0,0,,5,6,0.833,4,7,11,2,0,0,0,3,7,-9,23.2,1
157,157,22018,1629151,Ryan Broekhoff,1610612742,DAL,Dallas Mavericks,21801227,2019-04-10,DAL @ SAS,L,14,1,3,0.333,1,3,0.333,0,0,,0,0,0,0,1,0,0,3,3,-2,6.0,1
164,164,22018,203504,Trey Burke,1610612742,DAL,Dallas Mavericks,21801227,2019-04-10,DAL @ SAS,L,13,2,7,0.286,2,5,0.4,0,0,,0,1,1,3,1,0,0,0,6,1,14.7,1
193,193,22018,1626257,Salah Mejri,1610612742,DAL,Dallas Mavericks,21801227,2019-04-10,DAL @ SAS,L,15,1,5,0.2,0,4,0.0,0,0,,0,7,7,1,1,2,0,0,2,-2,20.9,1
213,213,22018,1628382,Justin Jackson,1610612742,DAL,Dallas Mavericks,21801227,2019-04-10,DAL @ SAS,L,27,6,9,0.667,2,3,0.667,0,0,,2,0,2,2,0,0,1,3,14,-4,18.4,1
