,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
2,2,22018,1629045,Bonzie Colson,1610612749,MIL,Milwaukee Bucks,21801226,2019-04-10,MIL vs. OKC,L,45,7,16,0.438,3,9,0.333,4,5,0.8,2,8,10,0,3,0,2,0,21,-11,40.0,1
38,38,22018,204025,Tim Frazier,1610612749,MIL,Milwaukee Bucks,21801226,2019-04-10,MIL vs. OKC,L,48,10,23,0.435,4,6,0.667,5,7,0.714,1,5,6,13,0,1,3,2,29,-11,55.7,1
40,40,22018,203114,Khris Middleton,1610612749,MIL,Milwaukee Bucks,21801226,2019-04-10,MIL vs. OKC,L,17,9,14,0.643,3,7,0.429,0,0,,0,1,1,5,1,0,1,2,21,9,31.7,1
63,63,22018,1626192,Pat Connaughton,1610612749,MIL,Milwaukee Bucks,21801226,2019-04-10,MIL vs. OKC,L,18,5,10,0.5,2,5,0.4,0,0,,3,2,5,1,1,0,2,2,12,-9,20.5,1
90,90,22018,1628391,D.J. Wilson,1610612749,MIL,Milwaukee Bucks,21801226,2019-04-10,MIL vs. OKC,L,47,8,20,0.4,2,7,0.286,0,0,,4,13,17,4,1,0,1,1,18,-12,46.4,1
108,108,22018,1628425,Sterling Brown,1610612749,MIL,Milwaukee Bucks,21801226,2019-04-10,MIL vs. OKC,L,23,2,7,0.286,0,4,0.0,3,4,0.75,0,3,3,3,0,0,3,4,7,-14,12.1,1
122,122,22018,201588,George Hill,1610612749,MIL,Milwaukee Bucks,21801226,2019-04-10,MIL vs. OKC,L,19,1,5,0.2,1,5,0.2,1,2,0.5,1,2,3,1,1,0,0,0,4,-2,12.1,1
149,149,22018,101141,Ersan Ilyasova,1610612749,MIL,Milwaukee Bucks,21801226,2019-04-10,MIL vs. OKC,L,24,1,5,0.2,0,3,0.0,2,3,0.667,0,8,8,0,0,0,2,3,4,-5,11.6,1
490,490,22018,101141,Ersan Ilyasova,1610612749,MIL,Milwaukee Bucks,21801202,2019-04-07,MIL vs. ATL,W,18,0,5,0.0,0,2,0.0,3,4,0.75,0,4,4,1,0,0,1,4,3,-9,8.3,1
532,532,22018,201588,George Hill,1610612749,MIL,Milwaukee Bucks,21801202,2019-04-07,MIL vs. ATL,W,21,2,8,0.25,1,5,0.2,4,6,0.667,1,4,5,2,1,0,3,2,9,-8,18.0,1
608,608,22018,201572,Brook Lopez,1610612749,MIL,Milwaukee Bucks,21801202,2019-04-07,MIL vs. ATL,W,24,3,9,0.333,0,5,0.0,2,2,1.0,0,7,7,1,0,4,2,3,8,14,27.9,1
622,622,22018,203507,Giannis Antetokounmpo,1610612749,MIL,Milwaukee Bucks,21801202,2019-04-07,MIL vs. ATL,W,25,10,15,0.667,2,5,0.4,8,12,0.667,3,6,9,3,1,3,1,0,30,16,56.3,1
639,639,22018,1626192,Pat Connaughton,1610612749,MIL,Milwaukee Bucks,21801202,2019-04-07,MIL vs. ATL,W,24,3,6,0.5,2,5,0.4,0,0,,1,3,4,3,1,1,1,1,8,-7,22.3,1
673,673,22018,1628425,Sterling Brown,1610612749,MIL,Milwaukee Bucks,21801202,2019-04-07,MIL vs. ATL,W,27,3,8,0.375,0,1,0.0,4,4,1.0,2,5,7,0,0,0,1,2,10,18,17.4,1
674,674,22018,1629045,Bonzie Colson,1610612749,MIL,Milwaukee Bucks,21801202,2019-04-07,MIL vs. ATL,W,4,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,1,0,0,0,0,-6,4.2,1
685,685,22018,203114,Khris Middleton,1610612749,MIL,Milwaukee Bucks,21801202,2019-04-07,MIL vs. ATL,W,25,8,19,0.421,2,8,0.25,3,3,1.0,0,5,5,3,0,1,0,3,21,22,34.5,1
689,689,22018,202339,Eric Bledsoe,1610612749,MIL,Milwaukee Bucks,21801202,2019-04-07,MIL vs. ATL,W,24,4,10,0.4,0,5,0.0,0,0,,1,4,5,5,2,0,1,2,8,23,26.5,1
692,692,22018,204025,Tim Frazier,1610612749,MIL,Milwaukee Bucks,21801202,2019-04-07,MIL vs. ATL,W,24,4,6,0.667,0,1,0.0,0,0,,2,5,7,1,2,0,2,3,8,-15,21.9,1
716,716,22018,1628391,D.J. Wilson,1610612749,MIL,Milwaukee Bucks,21801202,2019-04-07,MIL vs. ATL,W,23,3,4,0.75,2,3,0.667,2,3,0.667,1,6,7,0,0,1,2,3,10,-8,19.4,1
745,745,22018,201588,George Hill,1610612749,MIL,Milwaukee Bucks,21801193,2019-04-06,MIL vs. BKN,L,24,5,8,0.625,2,4,0.5,2,2,1.0,0,0,0,2,0,0,1,2,14,3,16.0,1
751,751,22018,101141,Ersan Ilyasova,1610612749,MIL,Milwaukee Bucks,21801193,2019-04-06,MIL vs. BKN,L,25,5,10,0.5,1,3,0.333,1,1,1.0,1,6,7,0,1,0,0,3,12,0,23.4,1
752,752,22018,203114,Khris Middleton,1610612749,MIL,Milwaukee Bucks,21801193,2019-04-06,MIL vs. BKN,L,30,9,18,0.5,2,7,0.286,4,4,1.0,0,4,4,3,1,0,4,0,24,-14,32.3,1
755,755,22018,1628391,D.J. Wilson,1610612749,MIL,Milwaukee Bucks,21801193,2019-04-06,MIL vs. BKN,L,21,2,7,0.286,1,5,0.2,0,0,,0,7,7,2,0,0,1,4,5,-9,15.4,1
761,761,22018,202339,Eric Bledsoe,1610612749,MIL,Milwaukee Bucks,21801193,2019-04-06,MIL vs. BKN,L,33,12,17,0.706,5,6,0.833,4,7,0.571,2,2,4,11,2,1,4,2,33,-9,59.3,1
762,762,22018,1628425,Sterling Brown,1610612749,MIL,Milwaukee Bucks,21801193,2019-04-06,MIL vs. BKN,L,29,5,7,0.714,1,2,0.5,0,2,0.0,0,4,4,5,0,0,2,1,11,3,21.3,1
771,771,22018,204025,Tim Frazier,1610612749,MIL,Milwaukee Bucks,21801193,2019-04-06,MIL vs. BKN,L,18,3,5,0.6,2,2,1.0,1,2,0.5,0,1,1,1,1,0,2,1,9,8,12.7,1
772,772,22018,1626192,Pat Connaughton,1610612749,MIL,Milwaukee Bucks,21801193,2019-04-06,MIL vs. BKN,L,31,6,8,0.75,1,2,0.5,0,1,0.0,1,7,8,3,2,0,0,2,13,-5,33.1,1
774,774,22018,201572,Brook Lopez,1610612749,MIL,Milwaukee Bucks,21801193,2019-04-06,MIL vs. BKN,L,30,2,8,0.25,1,3,0.333,2,2,1.0,2,6,8,1,0,3,0,3,7,-2,27.1,1
1079,1079,22018,201588,George Hill,1610612749,MIL,Milwaukee Bucks,21801177,2019-04-04,MIL @ PHI,W,33,7,13,0.538,2,3,0.667,4,5,0.8,0,5,5,5,0,0,0,2,20,-1,33.5,1
1081,1081,22018,202339,Eric Bledsoe,1610612749,MIL,Milwaukee Bucks,21801177,2019-04-04,MIL @ PHI,W,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,8,0.0,1
1086,1086,22018,203114,Khris Middleton,1610612749,MIL,Milwaukee Bucks,21801177,2019-04-04,MIL @ PHI,W,25,7,18,0.389,3,6,0.5,5,7,0.714,1,2,3,4,2,0,5,1,22,10,32.6,1
