,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
1896,1896,22019,202688,Brandon Knight,1610612765,DET,Detroit Pistons,21900971,2020-03-11,DET @ PHI,L,34,1,7,0.143,1,6,0.167,3,5,0.6,1,4,5,6,0,0,3,4,6,-6,18.0,1
1916,1916,22019,1629743,Donta Hall,1610612765,DET,Detroit Pistons,21900971,2020-03-11,DET @ PHI,L,7,0,0,,0,0,,1,2,0.5,1,3,4,0,0,0,0,4,1,-9,5.8,1
1924,1924,22019,1626174,Christian Wood,1610612765,DET,Detroit Pistons,21900971,2020-03-11,DET @ PHI,L,39,14,18,0.778,3,4,0.75,1,4,0.25,1,6,7,2,3,2,3,1,32,-4,55.4,1
1926,1926,22019,1629017,Khyri Thomas,1610612765,DET,Detroit Pistons,21900971,2020-03-11,DET @ PHI,L,14,1,3,0.333,1,3,0.333,1,2,0.5,0,0,0,1,1,0,0,4,4,-12,8.5,1
1935,1935,22019,1627748,Thon Maker,1610612765,DET,Detroit Pistons,21900971,2020-03-11,DET @ PHI,L,17,5,9,0.556,2,4,0.5,1,2,0.5,2,1,3,1,0,1,0,4,13,4,21.1,1
1937,1937,22019,203503,Tony Snell,1610612765,DET,Detroit Pistons,21900971,2020-03-11,DET @ PHI,L,28,3,5,0.6,0,1,0.0,3,3,1.0,0,1,1,3,3,0,1,3,9,1,22.7,1
1947,1947,22019,1629635,Sekou Doumbouya,1610612765,DET,Detroit Pistons,21900971,2020-03-11,DET @ PHI,L,23,1,4,0.25,0,1,0.0,0,0,,0,1,1,2,0,0,0,2,2,-19,6.2,1
1949,1949,22019,1629004,Svi Mykhailiuk,1610612765,DET,Detroit Pistons,21900971,2020-03-11,DET @ PHI,L,24,4,13,0.308,3,9,0.333,5,5,1.0,0,2,2,4,2,0,1,1,16,-1,29.4,1
1950,1950,22019,204038,Langston Galloway,1610612765,DET,Detroit Pistons,21900971,2020-03-11,DET @ PHI,L,28,6,12,0.5,1,4,0.25,0,0,,1,1,2,3,1,0,0,0,13,-21,22.9,1
1959,1959,22019,203895,Jordan McRae,1610612765,DET,Detroit Pistons,21900971,2020-03-11,DET @ PHI,L,27,4,13,0.308,0,3,0.0,2,2,1.0,0,7,7,3,0,0,0,1,10,-23,22.9,1
2212,2212,22019,1627748,Thon Maker,1610612765,DET,Detroit Pistons,21900955,2020-03-08,DET @ NYK,L,28,1,5,0.2,0,0,,1,2,0.5,0,4,4,1,3,1,0,2,3,-15,21.3,1
2232,2232,22019,1629635,Sekou Doumbouya,1610612765,DET,Detroit Pistons,21900955,2020-03-08,DET @ NYK,L,16,2,6,0.333,0,1,0.0,0,0,,0,1,1,1,1,0,0,1,4,-8,9.7,1
2253,2253,22019,203503,Tony Snell,1610612765,DET,Detroit Pistons,21900955,2020-03-08,DET @ NYK,L,29,1,9,0.111,1,7,0.143,1,1,1.0,1,4,5,3,0,1,1,2,4,4,16.5,1
2275,2275,22019,204038,Langston Galloway,1610612765,DET,Detroit Pistons,21900955,2020-03-08,DET @ NYK,L,24,3,8,0.375,2,5,0.4,1,1,1.0,1,2,3,2,1,0,0,1,9,-10,18.6,1
2292,2292,22019,203089,John Henson,1610612765,DET,Detroit Pistons,21900955,2020-03-08,DET @ NYK,L,15,1,2,0.5,0,1,0.0,1,2,0.5,0,1,1,1,0,0,2,4,3,1,3.7,1
2298,2298,22019,1629017,Khyri Thomas,1610612765,DET,Detroit Pistons,21900955,2020-03-08,DET @ NYK,L,13,2,6,0.333,2,4,0.5,0,0,,1,0,1,0,0,0,1,2,6,-6,6.2,1
2304,2304,22019,1629004,Svi Mykhailiuk,1610612765,DET,Detroit Pistons,21900955,2020-03-08,DET @ NYK,L,26,3,7,0.429,2,6,0.333,1,2,0.5,0,5,5,5,1,0,2,3,9,2,23.5,1
2365,2365,22019,203895,Jordan McRae,1610612765,DET,Detroit Pistons,21900955,2020-03-08,DET @ NYK,L,20,1,10,0.1,1,7,0.143,5,8,0.625,0,3,3,0,0,0,1,2,8,-20,10.6,1
2368,2368,22019,1628971,Bruce Brown,1610612765,DET,Detroit Pistons,21900955,2020-03-08,DET @ NYK,L,37,7,14,0.5,2,4,0.5,0,0,,1,3,4,6,0,0,2,1,16,0,27.8,1
2423,2423,22019,1626174,Christian Wood,1610612765,DET,Detroit Pistons,21900955,2020-03-08,DET @ NYK,L,33,8,13,0.615,1,3,0.333,5,6,0.833,1,7,8,2,2,0,2,1,22,-8,38.6,1
2458,2458,22019,1629635,Sekou Doumbouya,1610612765,DET,Detroit Pistons,21900941,2020-03-07,DET vs. UTA,L,20,4,6,0.667,0,1,0.0,1,2,0.5,1,2,3,1,0,0,1,1,9,-7,13.1,1
2475,2475,22019,202688,Brandon Knight,1610612765,DET,Detroit Pistons,21900941,2020-03-07,DET vs. UTA,L,29,3,9,0.333,3,8,0.375,4,4,1.0,0,4,4,3,0,1,1,3,13,5,24.3,1
2476,2476,22019,203895,Jordan McRae,1610612765,DET,Detroit Pistons,21900941,2020-03-07,DET vs. UTA,L,25,4,9,0.444,0,2,0.0,6,7,0.857,0,3,3,1,0,0,2,3,14,3,17.1,1
