,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
2018,2018,22019,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,21900967,2020-03-10,GSW vs. LAC,L,32,8,16,0.5,3,8,0.375,2,4,0.5,0,2,2,3,0,0,1,1,21,-18,26.9,1
2032,2032,22019,1629308,Juan Toscano-Anderson,1610612744,GSW,Golden State Warriors,21900967,2020-03-10,GSW vs. LAC,L,1,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2,0.0,1
2035,2035,22019,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,21900967,2020-03-10,GSW vs. LAC,L,26,6,10,0.6,2,6,0.333,3,4,0.75,0,1,1,3,1,0,1,0,17,-3,24.7,1
2037,2037,22019,1628539,Mychal Mulder,1610612744,GSW,Golden State Warriors,21900967,2020-03-10,GSW vs. LAC,L,26,1,9,0.111,0,7,0.0,1,2,0.5,0,4,4,0,0,0,1,2,3,-10,6.8,1
2038,2038,22019,1629672,Eric Paschall,1610612744,GSW,Golden State Warriors,21900967,2020-03-10,GSW vs. LAC,L,32,4,12,0.333,1,4,0.25,3,4,0.75,0,2,2,7,0,0,0,1,12,-28,24.9,1
2043,2043,22019,1626184,Chasson Randle,1610612744,GSW,Golden State Warriors,21900967,2020-03-10,GSW vs. LAC,L,15,0,2,0.0,0,1,0.0,2,2,1.0,0,0,0,3,1,0,0,2,2,5,9.5,1
2052,2052,22019,1627733,Dragan Bender,1610612744,GSW,Golden State Warriors,21900967,2020-03-10,GSW vs. LAC,L,25,8,12,0.667,2,5,0.4,5,5,1.0,1,6,7,3,0,0,3,3,23,-7,32.9,1
2060,2060,22019,1627814,Damion Lee,1610612744,GSW,Golden State Warriors,21900967,2020-03-10,GSW vs. LAC,L,31,2,6,0.333,2,5,0.4,2,2,1.0,0,5,5,3,1,0,1,2,8,-25,20.5,1
2061,2061,22019,1629065,Ky Bowman,1610612744,GSW,Golden State Warriors,21900967,2020-03-10,GSW vs. LAC,L,24,5,6,0.833,1,2,0.5,0,0,,0,4,4,1,0,0,1,5,11,-4,16.3,1
2115,2115,22019,1627737,Marquese Chriss,1610612744,GSW,Golden State Warriors,21900967,2020-03-10,GSW vs. LAC,L,27,3,5,0.6,0,0,,4,4,1.0,3,7,10,2,0,0,1,1,10,-32,24.0,1
2440,2440,22019,1626184,Chasson Randle,1610612744,GSW,Golden State Warriors,21900944,2020-03-07,GSW vs. PHI,W,14,0,1,0.0,0,0,,3,4,0.75,0,1,1,1,1,0,0,0,3,-10,8.7,1
2441,2441,22019,1629672,Eric Paschall,1610612744,GSW,Golden State Warriors,21900944,2020-03-07,GSW vs. PHI,W,29,8,12,0.667,0,1,0.0,7,7,1.0,0,3,3,6,0,0,1,2,23,8,34.6,1
