,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
4,4,22019,201601,Luc Mbah a Moute,1610612745,HOU,Houston Rockets,21901315,2020-08-14,HOU vs. PHI,L,14,1,3,0.333,0,2,0.0,1,2,0.5,0,1,1,0,0,0,0,0,3,-14,4.2,1
8,8,22019,201145,Jeff Green,1610612745,HOU,Houston Rockets,21901315,2020-08-14,HOU vs. PHI,L,25,8,10,0.8,0,2,0.0,1,1,1.0,0,0,0,4,1,1,0,4,17,-7,29.0,1
18,18,22019,201569,Eric Gordon,1610612745,HOU,Houston Rockets,21901315,2020-08-14,HOU vs. PHI,L,23,4,10,0.4,3,6,0.5,2,2,1.0,0,2,2,2,0,1,1,1,13,-12,20.4,1
20,20,22019,201960,DeMarre Carroll,1610612745,HOU,Houston Rockets,21901315,2020-08-14,HOU vs. PHI,L,25,2,5,0.4,1,3,0.333,0,0,,0,4,4,1,1,0,1,2,5,-29,13.3,1
22,22,22019,203085,Austin Rivers,1610612745,HOU,Houston Rockets,21901315,2020-08-14,HOU vs. PHI,L,12,0,2,0.0,0,2,0.0,1,2,0.5,0,1,1,0,1,0,1,0,1,-16,4.2,1
25,25,22019,200782,P.J. Tucker,1610612745,HOU,Houston Rockets,21901315,2020-08-14,HOU vs. PHI,L,29,3,6,0.5,1,4,0.25,0,0,,0,1,1,2,0,1,0,2,7,-12,14.2,1
51,51,22019,203998,Bruno Caboclo,1610612745,HOU,Houston Rockets,21901315,2020-08-14,HOU vs. PHI,L,17,4,9,0.444,1,4,0.25,2,2,1.0,1,5,6,0,2,1,4,2,11,-23,23.2,1
64,64,22019,201935,James Harden,1610612745,HOU,Houston Rockets,21901315,2020-08-14,HOU vs. PHI,L,26,9,16,0.563,4,9,0.444,5,5,1.0,0,3,3,10,1,2,7,1,27,-11,47.6,1
67,67,22019,203463,Ben McLemore,1610612745,HOU,Houston Rockets,21901315,2020-08-14,HOU vs. PHI,L,11,1,4,0.25,1,3,0.333,0,0,,0,2,2,1,1,0,0,0,3,-17,9.9,1
72,72,22019,203496,Robert Covington,1610612745,HOU,Houston Rockets,21901315,2020-08-14,HOU vs. PHI,L,24,1,4,0.25,1,4,0.25,2,2,1.0,0,5,5,1,2,2,1,1,5,-3,23.5,1
77,77,22019,1626187,Michael Frazier II,1610612745,HOU,Houston Rockets,21901315,2020-08-14,HOU vs. PHI,L,17,0,4,0.0,0,4,0.0,0,0,,0,1,1,0,0,0,1,1,0,-23,0.2,1
