,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
1975,1975,22019,1627736,Malik Beasley,1610612750,MIN,Minnesota Timberwolves,21900963,2020-03-10,MIN @ HOU,L,33,2,11,0.182,1,5,0.2,0,0,,0,3,3,1,1,0,2,1,5,-3,11.1,1
1977,1977,22019,1629669,Jaylen Nowell,1610612750,MIN,Minnesota Timberwolves,21900963,2020-03-10,MIN @ HOU,L,5,0,1,0.0,0,1,0.0,0,0,,0,2,2,1,0,0,0,0,0,-6,3.9,1
1979,1979,22019,1629162,Jordan McLaughlin,1610612750,MIN,Minnesota Timberwolves,21900963,2020-03-10,MIN @ HOU,L,19,2,4,0.5,0,1,0.0,1,2,0.5,1,1,2,3,0,0,0,0,5,-1,11.9,1
1990,1990,22019,201949,James Johnson,1610612750,MIN,Minnesota Timberwolves,21900963,2020-03-10,MIN @ HOU,L,25,7,14,0.5,2,4,0.5,0,0,,2,4,6,3,2,0,2,2,16,-4,31.7,1
1998,1998,22019,1627823,Juancho Hernangomez,1610612750,MIN,Minnesota Timberwolves,21900963,2020-03-10,MIN @ HOU,L,30,6,12,0.5,4,8,0.5,2,2,1.0,1,9,10,0,1,0,1,2,18,4,32.0,1
2019,2019,22019,1629633,Jarrett Culver,1610612750,MIN,Minnesota Timberwolves,21900963,2020-03-10,MIN @ HOU,L,18,5,8,0.625,1,2,0.5,1,2,0.5,0,1,1,2,0,0,1,3,12,-9,15.2,1
2024,2024,22019,1629675,Naz Reid,1610612750,MIN,Minnesota Timberwolves,21900963,2020-03-10,MIN @ HOU,L,23,5,8,0.625,0,0,,1,2,0.5,0,4,4,3,1,0,3,4,11,-7,20.3,1
2045,2045,22019,1629006,Josh Okogie,1610612750,MIN,Minnesota Timberwolves,21900963,2020-03-10,MIN @ HOU,L,36,2,5,0.4,0,0,,3,4,0.75,1,3,4,3,0,0,1,1,7,2,15.3,1
2078,2078,22019,1627774,Jake Layman,1610612750,MIN,Minnesota Timberwolves,21900963,2020-03-10,MIN @ HOU,L,17,3,5,0.6,1,2,0.5,2,2,1.0,3,0,3,0,0,0,2,5,9,-8,10.6,1
2145,2145,22019,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,21900963,2020-03-10,MIN @ HOU,L,34,8,15,0.533,5,12,0.417,7,9,0.778,0,6,6,5,4,0,6,2,28,2,48.7,1
2247,2247,22019,1629669,Jaylen Nowell,1610612750,MIN,Minnesota Timberwolves,21900947,2020-03-08,MIN vs. NOP,L,9,0,1,0.0,0,0,,0,0,,0,0,0,2,2,0,0,2,0,3,9.0,1
2307,2307,22019,1627823,Juancho Hernangomez,1610612750,MIN,Minnesota Timberwolves,21900947,2020-03-08,MIN vs. NOP,L,28,1,5,0.2,0,3,0.0,1,2,0.5,1,7,8,1,1,0,1,2,3,-8,16.1,1
2309,2309,22019,1629162,Jordan McLaughlin,1610612750,MIN,Minnesota Timberwolves,21900947,2020-03-08,MIN vs. NOP,L,17,2,4,0.5,0,1,0.0,2,2,1.0,0,0,0,2,1,0,3,2,6,-14,9.0,1
2321,2321,22019,201949,James Johnson,1610612750,MIN,Minnesota Timberwolves,21900947,2020-03-08,MIN vs. NOP,L,25,5,11,0.455,3,5,0.6,2,2,1.0,0,5,5,4,0,1,2,3,15,-4,28.0,1
2323,2323,22019,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,21900947,2020-03-08,MIN vs. NOP,L,35,6,18,0.333,0,7,0.0,7,7,1.0,1,5,6,5,1,1,5,2,19,10,34.7,1
2351,2351,22019,1629633,Jarrett Culver,1610612750,MIN,Minnesota Timberwolves,21900947,2020-03-08,MIN vs. NOP,L,21,4,7,0.571,0,1,0.0,2,4,0.5,0,3,3,1,2,0,0,2,10,5,21.1,1
2361,2361,22019,1627774,Jake Layman,1610612750,MIN,Minnesota Timberwolves,21900947,2020-03-08,MIN vs. NOP,L,19,4,6,0.667,0,1,0.0,3,4,0.75,1,0,1,0,1,0,2,2,11,9,13.2,1
2380,2380,22019,1629675,Naz Reid,1610612750,MIN,Minnesota Timberwolves,21900947,2020-03-08,MIN vs. NOP,L,25,4,14,0.286,0,5,0.0,2,2,1.0,1,4,5,1,3,1,2,3,10,-26,27.5,1
2386,2386,22019,1629006,Josh Okogie,1610612750,MIN,Minnesota Timberwolves,21900947,2020-03-08,MIN vs. NOP,L,29,3,8,0.375,1,3,0.333,5,5,1.0,3,2,5,4,3,0,1,5,12,-14,32.0,1
2390,2390,22019,1627736,Malik Beasley,1610612750,MIN,Minnesota Timberwolves,21900947,2020-03-08,MIN vs. NOP,L,32,8,20,0.4,4,7,0.571,1,3,0.333,2,7,9,0,1,0,1,0,21,-26,33.8,1
2552,2552,22019,1629675,Naz Reid,1610612750,MIN,Minnesota Timberwolves,21900935,2020-03-06,MIN vs. ORL,L,28,5,14,0.357,1,5,0.2,5,6,0.833,1,2,3,3,1,1,2,4,16,-14,28.1,1
2569,2569,22019,1629669,Jaylen Nowell,1610612750,MIN,Minnesota Timberwolves,21900935,2020-03-06,MIN vs. ORL,L,12,3,4,0.75,0,1,0.0,5,5,1.0,0,0,0,2,1,0,0,2,11,5,17.0,1
2579,2579,22019,1627823,Juancho Hernangomez,1610612750,MIN,Minnesota Timberwolves,21900935,2020-03-06,MIN vs. ORL,L,30,3,9,0.333,1,5,0.2,1,2,0.5,2,6,8,1,1,0,0,5,8,-17,22.1,1
2613,2613,22019,1627736,Malik Beasley,1610612750,MIN,Minnesota Timberwolves,21900935,2020-03-06,MIN vs. ORL,L,28,14,21,0.667,1,5,0.2,0,0,,0,4,4,1,0,0,1,0,29,-20,34.3,1
2621,2621,22019,1629633,Jarrett Culver,1610612750,MIN,Minnesota Timberwolves,21900935,2020-03-06,MIN vs. ORL,L,27,3,7,0.429,1,3,0.333,0,0,,3,1,4,2,0,0,2,2,7,11,12.8,1
2637,2637,22019,1627774,Jake Layman,1610612750,MIN,Minnesota Timberwolves,21900935,2020-03-06,MIN vs. ORL,L,18,5,8,0.625,1,3,0.333,3,3,1.0,1,1,2,1,1,0,0,0,14,3,20.9,1
2678,2678,22019,1629162,Jordan McLaughlin,1610612750,MIN,Minnesota Timberwolves,21900935,2020-03-06,MIN vs. ORL,L,28,6,10,0.6,2,4,0.5,0,0,,1,2,3,9,1,0,1,4,14,1,33.1,1
2685,2685,22019,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,21900935,2020-03-06,MIN vs. ORL,L,23,2,14,0.143,0,4,0.0,1,2,0.5,0,5,5,3,0,0,0,1,5,-14,15.5,1
2719,2719,22019,1629006,Josh Okogie,1610612750,MIN,Minnesota Timberwolves,21900935,2020-03-06,MIN vs. ORL,L,21,1,2,0.5,1,1,1.0,0,0,,2,2,4,0,0,0,1,2,3,-25,6.8,1
2724,2724,22019,1629103,Kelan Martin,1610612750,MIN,Minnesota Timberwolves,21900935,2020-03-06,MIN vs. ORL,L,5,1,2,0.5,0,1,0.0,0,0,,0,1,1,1,0,0,0,0,2,3,4.7,1
2746,2746,22019,201949,James Johnson,1610612750,MIN,Minnesota Timberwolves,21900935,2020-03-06,MIN vs. ORL,L,20,3,7,0.429,2,5,0.4,1,2,0.5,0,2,2,7,1,2,1,1,9,-3,29.9,1
2854,2854,22019,1627736,Malik Beasley,1610612750,MIN,Minnesota Timberwolves,21900922,2020-03-04,MIN vs. CHI,W,34,8,14,0.571,4,8,0.5,4,4,1.0,1,2,3,2,0,0,3,1,24,-5,27.6,1
2941,2941,22019,1627823,Juancho Hernangomez,1610612750,MIN,Minnesota Timberwolves,21900922,2020-03-04,MIN vs. CHI,W,31,4,8,0.5,2,5,0.4,2,4,0.5,0,7,7,2,1,0,1,2,12,0,25.4,1
2943,2943,22019,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,21900922,2020-03-04,MIN vs. CHI,W,31,6,14,0.429,4,10,0.4,3,3,1.0,0,3,3,4,1,0,5,1,19,23,26.6,1
2950,2950,22019,1629103,Kelan Martin,1610612750,MIN,Minnesota Timberwolves,21900922,2020-03-04,MIN vs. CHI,W,9,1,2,0.5,1,2,0.5,3,4,0.75,0,3,3,1,0,0,0,0,6,4,11.1,1
2967,2967,22019,1629006,Josh Okogie,1610612750,MIN,Minnesota Timberwolves,21900922,2020-03-04,MIN vs. CHI,W,26,2,4,0.5,1,3,0.333,0,0,,1,3,4,2,0,0,2,3,5,4,10.8,1
