,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
94,94,22019,1628396,Tony Bradley,1610612762,UTA,Utah Jazz,21901314,2020-08-13,UTA vs. SAS,W,22,3,7,0.429,0,0,,0,0,,3,7,10,1,0,1,1,1,6,-1,21.5,1
110,110,22019,1629625,Justin Wright-Foreman,1610612762,UTA,Utah Jazz,21901314,2020-08-13,UTA vs. SAS,W,17,2,7,0.286,0,3,0.0,0,0,,0,2,2,3,1,0,1,2,4,-11,12.9,1
123,123,22019,203903,Jordan Clarkson,1610612762,UTA,Utah Jazz,21901314,2020-08-13,UTA vs. SAS,W,14,4,12,0.333,3,9,0.333,0,0,,0,2,2,1,0,0,2,1,11,12,12.9,1
129,129,22019,1626220,Royce O'Neale,1610612762,UTA,Utah Jazz,21901314,2020-08-13,UTA vs. SAS,W,11,1,4,0.25,0,2,0.0,0,0,,0,1,1,0,0,2,0,1,2,1,9.2,1
142,142,22019,1628378,Donovan Mitchell,1610612762,UTA,Utah Jazz,21901314,2020-08-13,UTA vs. SAS,W,11,3,5,0.6,3,4,0.75,2,2,1.0,0,4,4,3,0,0,0,1,11,1,20.3,1
159,159,22019,1627777,Georges Niang,1610612762,UTA,Utah Jazz,21901314,2020-08-13,UTA vs. SAS,W,22,5,10,0.5,3,8,0.375,0,0,,1,4,5,2,0,0,1,1,13,13,21.0,1
161,161,22019,1628430,Nigel Williams-Goss,1610612762,UTA,Utah Jazz,21901314,2020-08-13,UTA vs. SAS,W,22,4,9,0.444,2,5,0.4,0,0,,0,1,1,1,2,0,1,4,10,-4,17.7,1
165,165,22019,1629714,Jarrell Brantley,1610612762,UTA,Utah Jazz,21901314,2020-08-13,UTA vs. SAS,W,29,6,13,0.462,0,3,0.0,1,2,0.5,1,3,4,6,1,1,0,2,13,-4,32.8,1
171,171,22019,202334,Ed Davis,1610612762,UTA,Utah Jazz,21901314,2020-08-13,UTA vs. SAS,W,7,5,6,0.833,0,0,,1,1,1.0,4,2,6,1,0,0,0,2,11,11,19.7,1
180,180,22019,1629671,Miye Oni,1610612762,UTA,Utah Jazz,21901314,2020-08-13,UTA vs. SAS,W,26,4,8,0.5,2,5,0.4,0,0,,1,1,2,2,1,0,1,3,10,0,17.4,1
182,182,22019,1629730,Rayjon Tucker,1610612762,UTA,Utah Jazz,21901314,2020-08-13,UTA vs. SAS,W,24,6,12,0.5,1,4,0.25,5,5,1.0,0,2,2,1,0,0,0,0,18,-7,21.9,1
201,201,22019,204060,Joe Ingles,1610612762,UTA,Utah Jazz,21901314,2020-08-13,UTA vs. SAS,W,12,1,4,0.25,1,3,0.333,0,0,,0,1,1,3,1,0,0,0,3,12,11.7,1
206,206,22019,1629752,Juwan Morgan,1610612762,UTA,Utah Jazz,21901314,2020-08-13,UTA vs. SAS,W,22,3,4,0.75,0,0,,0,0,,2,1,3,1,1,1,1,5,6,7,16.1,1
486,486,22019,203903,Jordan Clarkson,1610612762,UTA,Utah Jazz,21901293,2020-08-10,UTA vs. DAL,L,14,6,9,0.667,5,7,0.714,1,1,1.0,1,2,3,0,0,0,0,2,18,14,21.6,1
498,498,22019,1628396,Tony Bradley,1610612762,UTA,Utah Jazz,21901293,2020-08-10,UTA vs. DAL,L,15,2,2,1.0,1,1,1.0,0,0,,2,3,5,2,0,1,0,1,5,-2,17.0,1
499,499,22019,1629625,Justin Wright-Foreman,1610612762,UTA,Utah Jazz,21901293,2020-08-10,UTA vs. DAL,L,15,2,5,0.4,2,4,0.5,1,2,0.5,0,1,1,3,0,0,0,2,7,-23,12.7,1
516,516,22019,1629714,Jarrell Brantley,1610612762,UTA,Utah Jazz,21901293,2020-08-10,UTA vs. DAL,L,23,1,7,0.143,1,6,0.167,0,0,,0,3,3,1,0,1,3,1,3,-26,8.1,1
517,517,22019,1626144,Emmanuel Mudiay,1610612762,UTA,Utah Jazz,21901293,2020-08-10,UTA vs. DAL,L,27,6,12,0.5,2,4,0.5,0,0,,1,3,4,4,1,0,4,4,14,-20,23.8,1
519,519,22019,1629671,Miye Oni,1610612762,UTA,Utah Jazz,21901293,2020-08-10,UTA vs. DAL,L,27,2,8,0.25,1,5,0.2,0,0,,0,2,2,1,0,1,1,3,5,-8,10.9,1
523,523,22019,201144,Mike Conley,1610612762,UTA,Utah Jazz,21901293,2020-08-10,UTA vs. DAL,L,16,3,7,0.429,3,4,0.75,0,0,,2,0,2,2,1,0,1,0,9,9,16.4,1
529,529,22019,204060,Joe Ingles,1610612762,UTA,Utah Jazz,21901293,2020-08-10,UTA vs. DAL,L,13,3,7,0.429,1,5,0.2,0,0,,0,4,4,7,1,1,1,2,7,13,27.3,1
545,545,22019,202334,Ed Davis,1610612762,UTA,Utah Jazz,21901293,2020-08-10,UTA vs. DAL,L,16,3,4,0.75,0,0,,1,2,0.5,2,0,2,1,1,0,0,2,7,-18,13.9,1
552,552,22019,1629730,Rayjon Tucker,1610612762,UTA,Utah Jazz,21901293,2020-08-10,UTA vs. DAL,L,28,4,7,0.571,1,3,0.333,8,9,0.889,0,3,3,1,0,1,1,0,17,-7,24.1,1
558,558,22019,203497,Rudy Gobert,1610612762,UTA,Utah Jazz,21901293,2020-08-10,UTA vs. DAL,L,16,3,5,0.6,0,0,,3,4,0.75,2,3,5,3,0,1,0,0,9,12,22.5,1
560,560,22019,1627777,Georges Niang,1610612762,UTA,Utah Jazz,21901293,2020-08-10,UTA vs. DAL,L,15,4,5,0.8,4,4,1.0,1,2,0.5,0,0,0,1,0,0,0,0,13,12,14.5,1
595,595,22019,1626220,Royce O'Neale,1610612762,UTA,Utah Jazz,21901293,2020-08-10,UTA vs. DAL,L,14,0,4,0.0,0,3,0.0,0,0,,1,3,4,2,1,0,1,2,0,4,9.8,1
753,753,22019,203497,Rudy Gobert,1610612762,UTA,Utah Jazz,21901281,2020-08-08,UTA @ DEN,L,41,9,16,0.563,0,0,,4,8,0.5,6,7,13,2,0,1,3,6,22,4,40.6,1
768,768,22019,1628378,Donovan Mitchell,1610612762,UTA,Utah Jazz,21901281,2020-08-08,UTA @ DEN,L,47,12,33,0.364,5,16,0.313,6,7,0.857,2,4,6,8,1,1,5,5,35,2,55.2,1
772,772,22019,1628396,Tony Bradley,1610612762,UTA,Utah Jazz,21901281,2020-08-08,UTA @ DEN,L,16,2,2,1.0,0,0,,3,3,1.0,2,4,6,0,0,1,1,3,7,-4,16.2,1
774,774,22019,1629730,Rayjon Tucker,1610612762,UTA,Utah Jazz,21901281,2020-08-08,UTA @ DEN,L,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,1
784,784,22019,201144,Mike Conley,1610612762,UTA,Utah Jazz,21901281,2020-08-08,UTA @ DEN,L,44,8,19,0.421,3,11,0.273,1,1,1.0,2,4,6,5,1,0,5,2,20,-2,32.7,1
796,796,22019,203903,Jordan Clarkson,1610612762,UTA,Utah Jazz,21901281,2020-08-08,UTA @ DEN,L,25,6,14,0.429,5,9,0.556,2,3,0.667,0,1,1,2,0,0,4,2,19,10,19.2,1
814,814,22019,1627777,Georges Niang,1610612762,UTA,Utah Jazz,21901281,2020-08-08,UTA @ DEN,L,13,3,5,0.6,3,5,0.6,0,0,,0,1,1,1,0,0,0,2,9,3,11.7,1
817,817,22019,1626220,Royce O'Neale,1610612762,UTA,Utah Jazz,21901281,2020-08-08,UTA @ DEN,L,39,2,5,0.4,2,5,0.4,0,0,,1,10,11,2,2,1,1,5,6,-12,30.2,1
819,819,22019,1629714,Jarrell Brantley,1610612762,UTA,Utah Jazz,21901281,2020-08-08,UTA @ DEN,L,7,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-2,2.4,1
821,821,22019,1629671,Miye Oni,1610612762,UTA,Utah Jazz,21901281,2020-08-08,UTA @ DEN,L,10,1,2,0.5,1,2,0.5,0,0,,0,2,2,1,1,0,0,1,3,15,9.9,1
833,833,22019,204060,Joe Ingles,1610612762,UTA,Utah Jazz,21901281,2020-08-08,UTA @ DEN,L,46,4,9,0.444,3,7,0.429,0,0,,2,1,3,13,1,0,3,4,11,-24,34.1,1
844,844,22019,1627777,Georges Niang,1610612762,UTA,Utah Jazz,21901274,2020-08-07,UTA @ SAS,L,28,3,11,0.273,1,5,0.2,0,0,,0,8,8,2,2,0,2,1,7,-2,23.6,1
848,848,22019,202334,Ed Davis,1610612762,UTA,Utah Jazz,21901274,2020-08-07,UTA @ SAS,L,12,0,2,0.0,0,0,,0,0,,0,2,2,2,0,0,0,2,0,-13,5.4,1
857,857,22019,204060,Joe Ingles,1610612762,UTA,Utah Jazz,21901274,2020-08-07,UTA @ SAS,L,17,4,8,0.5,4,6,0.667,0,0,,0,3,3,3,0,0,0,2,12,-7,20.1,1
867,867,22019,1628396,Tony Bradley,1610612762,UTA,Utah Jazz,21901274,2020-08-07,UTA @ SAS,L,22,7,9,0.778,1,1,1.0,0,1,0.0,2,9,11,2,1,3,0,1,15,10,43.2,1
891,891,22019,1629671,Miye Oni,1610612762,UTA,Utah Jazz,21901274,2020-08-07,UTA @ SAS,L,30,4,9,0.444,2,4,0.5,4,5,0.8,3,4,7,0,1,0,1,2,14,-11,24.4,1
917,917,22019,1629625,Justin Wright-Foreman,1610612762,UTA,Utah Jazz,21901274,2020-08-07,UTA @ SAS,L,11,3,8,0.375,0,3,0.0,2,2,1.0,0,2,2,1,1,0,2,1,8,2,12.9,1
946,946,22019,203903,Jordan Clarkson,1610612762,UTA,Utah Jazz,21901274,2020-08-07,UTA @ SAS,L,24,8,18,0.444,4,9,0.444,4,4,1.0,1,1,2,4,0,0,3,2,24,4,29.4,1
961,961,22019,1629730,Rayjon Tucker,1610612762,UTA,Utah Jazz,21901274,2020-08-07,UTA @ SAS,L,19,1,3,0.333,1,3,0.333,2,2,1.0,1,1,2,0,0,0,2,1,5,-3,5.4,1
962,962,22019,1629752,Juwan Morgan,1610612762,UTA,Utah Jazz,21901274,2020-08-07,UTA @ SAS,L,25,1,2,0.5,1,1,1.0,1,2,0.5,2,3,5,3,0,0,2,3,4,-1,12.5,1
964,964,22019,1626144,Emmanuel Mudiay,1610612762,UTA,Utah Jazz,21901274,2020-08-07,UTA @ SAS,L,28,4,13,0.308,0,1,0.0,6,8,0.75,0,1,1,5,1,0,1,2,14,-14,24.7,1
967,967,22019,1629714,Jarrell Brantley,1610612762,UTA,Utah Jazz,21901274,2020-08-07,UTA @ SAS,L,24,3,8,0.375,2,4,0.5,0,0,,1,5,6,3,2,1,2,2,8,-5,26.7,1
1128,1128,22019,201144,Mike Conley,1610612762,UTA,Utah Jazz,21901262,2020-08-05,UTA vs. MEM,W,34,6,13,0.462,4,9,0.444,7,7,1.0,1,4,5,7,1,0,2,5,23,16,40.5,1
1146,1146,22019,203903,Jordan Clarkson,1610612762,UTA,Utah Jazz,21901262,2020-08-05,UTA vs. MEM,W,23,6,14,0.429,1,4,0.25,1,2,0.5,0,4,4,1,1,0,2,3,14,-11,21.3,1
1148,1148,22019,1629730,Rayjon Tucker,1610612762,UTA,Utah Jazz,21901262,2020-08-05,UTA vs. MEM,W,7,0,1,0.0,0,1,0.0,1,2,0.5,0,0,0,1,0,0,1,2,1,-6,1.5,1
1154,1154,22019,1626220,Royce O'Neale,1610612762,UTA,Utah Jazz,21901262,2020-08-05,UTA vs. MEM,W,35,4,8,0.5,3,7,0.429,4,4,1.0,0,7,7,3,1,1,3,4,15,16,30.9,1
1164,1164,22019,1626144,Emmanuel Mudiay,1610612762,UTA,Utah Jazz,21901262,2020-08-05,UTA vs. MEM,W,4,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,1,0,0,-3,-1.0,1
1166,1166,22019,1629752,Juwan Morgan,1610612762,UTA,Utah Jazz,21901262,2020-08-05,UTA vs. MEM,W,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4,0.0,1
1179,1179,22019,1627777,Georges Niang,1610612762,UTA,Utah Jazz,21901262,2020-08-05,UTA vs. MEM,W,17,1,5,0.2,1,5,0.2,0,0,,0,0,0,0,0,0,0,1,3,0,3.0,1
1205,1205,22019,204060,Joe Ingles,1610612762,UTA,Utah Jazz,21901262,2020-08-05,UTA vs. MEM,W,34,7,13,0.538,6,11,0.545,5,5,1.0,0,4,4,5,0,0,2,2,25,6,35.3,1
1224,1224,22019,1628378,Donovan Mitchell,1610612762,UTA,Utah Jazz,21901262,2020-08-05,UTA vs. MEM,W,38,7,18,0.389,3,7,0.429,1,1,1.0,3,4,7,6,0,0,2,4,18,22,33.4,1
1236,1236,22019,203497,Rudy Gobert,1610612762,UTA,Utah Jazz,21901262,2020-08-05,UTA vs. MEM,W,37,5,9,0.556,0,0,,11,12,0.917,5,11,16,1,2,3,2,1,21,21,54.7,1
1239,1239,22019,1628396,Tony Bradley,1610612762,UTA,Utah Jazz,21901262,2020-08-05,UTA vs. MEM,W,11,2,2,1.0,0,0,,0,0,,2,1,3,1,0,0,2,1,4,-12,7.1,1
1365,1365,22019,1627777,Georges Niang,1610612762,UTA,Utah Jazz,21901255,2020-08-03,UTA vs. LAL,L,18,2,5,0.4,0,3,0.0,0,0,,0,1,1,1,3,0,1,4,4,-9,14.7,1
1373,1373,22019,204060,Joe Ingles,1610612762,UTA,Utah Jazz,21901255,2020-08-03,UTA vs. LAL,L,35,2,5,0.4,1,4,0.25,0,0,,0,2,2,5,1,1,6,3,5,2,14.9,1
1379,1379,22019,1628378,Donovan Mitchell,1610612762,UTA,Utah Jazz,21901255,2020-08-03,UTA vs. LAL,L,35,9,22,0.409,4,10,0.4,11,12,0.917,0,5,5,4,0,0,4,4,33,-4,41.0,1
1394,1394,22019,203497,Rudy Gobert,1610612762,UTA,Utah Jazz,21901255,2020-08-03,UTA vs. LAL,L,34,6,6,1.0,0,0,,4,5,0.8,2,11,13,2,0,1,2,5,16,-8,35.6,1
