,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
53,53,22022,1629130,Duncan Robinson,1610612748,MIA,Miami Heat,22201219,2023-04-09,MIA vs. ORL,W,35,6,14,0.429,3,11,0.273,5,6,0.833,0,2,2,4,1,0,1,4,20,9,30.4,1
57,57,22022,1630209,Omer Yurtseven,1610612748,MIA,Miami Heat,22201219,2023-04-09,MIA vs. ORL,W,24,5,9,0.556,1,3,0.333,3,3,1.0,2,5,7,0,1,1,1,4,14,11,27.4,1
58,58,22022,1631115,Orlando Robinson,1610612748,MIA,Miami Heat,22201219,2023-04-09,MIA vs. ORL,W,12,0,1,0.0,0,1,0.0,0,0,,1,2,3,2,0,0,0,0,0,12,6.6,1
59,59,22022,1631288,Jamal Cain,1610612748,MIA,Miami Heat,22201219,2023-04-09,MIA vs. ORL,W,19,6,7,0.857,4,4,1.0,2,3,0.667,0,5,5,1,2,0,2,1,18,13,29.5,1
207,207,22022,203506,Victor Oladipo,1610612748,MIA,Miami Heat,22201219,2023-04-09,MIA vs. ORL,W,23,7,12,0.583,5,8,0.625,0,0,,0,2,2,8,2,0,6,2,19,10,33.4,1
212,212,22022,2617,Udonis Haslem,1610612748,MIA,Miami Heat,22201219,2023-04-09,MIA vs. ORL,W,25,9,17,0.529,3,7,0.429,3,3,1.0,0,3,3,0,0,1,1,3,24,1,29.6,1
213,213,22022,1629312,Haywood Highsmith,1610612748,MIA,Miami Heat,22201219,2023-04-09,MIA vs. ORL,W,27,1,3,0.333,0,1,0.0,0,0,,1,4,5,3,1,0,3,3,2,-5,12.5,1
216,216,22022,1629639,Tyler Herro,1610612748,MIA,Miami Heat,22201219,2023-04-09,MIA vs. ORL,W,9,2,3,0.667,0,1,0.0,0,0,,0,1,1,3,0,0,2,0,4,3,7.7,1
217,217,22022,1629622,Max Strus,1610612748,MIA,Miami Heat,22201219,2023-04-09,MIA vs. ORL,W,11,0,2,0.0,0,1,0.0,0,0,,0,1,1,2,0,1,0,1,0,2,7.2,1
218,218,22022,1629216,Gabe Vincent,1610612748,MIA,Miami Heat,22201219,2023-04-09,MIA vs. ORL,W,7,1,2,0.5,0,1,0.0,0,1,0.0,0,1,1,0,0,0,0,0,2,-1,3.2,1
219,219,22022,1628997,Caleb Martin,1610612748,MIA,Miami Heat,22201219,2023-04-09,MIA vs. ORL,W,10,1,2,0.5,0,1,0.0,0,0,,0,1,1,1,2,0,1,0,2,2,9.7,1
221,221,22022,1628389,Bam Adebayo,1610612748,MIA,Miami Heat,22201219,2023-04-09,MIA vs. ORL,W,8,2,3,0.667,0,0,,0,0,,2,1,3,1,1,0,0,0,4,1,12.1,1
223,223,22022,203469,Cody Zeller,1610612748,MIA,Miami Heat,22201219,2023-04-09,MIA vs. ORL,W,12,2,2,1.0,0,0,,2,4,0.5,1,3,4,2,0,0,0,2,6,3,13.8,1
224,224,22022,201567,Kevin Love,1610612748,MIA,Miami Heat,22201219,2023-04-09,MIA vs. ORL,W,9,3,5,0.6,2,4,0.5,0,0,,0,5,5,0,0,0,0,0,8,1,14.0,1
225,225,22022,200768,Kyle Lowry,1610612748,MIA,Miami Heat,22201219,2023-04-09,MIA vs. ORL,W,10,0,1,0.0,0,1,0.0,0,0,,0,1,1,3,0,0,1,0,0,3,4.7,1
411,411,22022,1628997,Caleb Martin,1610612748,MIA,Miami Heat,22201204,2023-04-07,MIA @ WAS,L,20,2,8,0.25,0,2,0.0,0,0,,0,4,4,2,1,0,1,0,4,0,13.8,1
412,412,22022,1630209,Omer Yurtseven,1610612748,MIA,Miami Heat,22201204,2023-04-07,MIA @ WAS,L,17,4,7,0.571,2,3,0.667,0,0,,2,4,6,2,0,0,1,5,10,16,19.2,1
413,413,22022,203506,Victor Oladipo,1610612748,MIA,Miami Heat,22201204,2023-04-07,MIA @ WAS,L,26,11,24,0.458,7,16,0.438,1,4,0.25,0,1,1,4,2,1,3,4,30,18,43.2,1
415,415,22022,1629312,Haywood Highsmith,1610612748,MIA,Miami Heat,22201204,2023-04-07,MIA @ WAS,L,33,4,11,0.364,1,4,0.25,1,2,0.5,4,5,9,3,1,2,3,3,10,-12,31.3,1
416,416,22022,1631115,Orlando Robinson,1610612748,MIA,Miami Heat,22201204,2023-04-07,MIA @ WAS,L,16,1,2,0.5,0,0,,1,2,0.5,3,2,5,2,0,0,1,1,3,14,11.0,1
497,497,22022,1631288,Jamal Cain,1610612748,MIA,Miami Heat,22201204,2023-04-07,MIA @ WAS,L,31,4,8,0.5,1,4,0.25,3,3,1.0,3,4,7,1,1,1,0,4,12,18,27.9,1
587,587,22022,203469,Cody Zeller,1610612748,MIA,Miami Heat,22201204,2023-04-07,MIA @ WAS,L,22,8,10,0.8,0,0,,1,1,1.0,1,4,5,1,0,0,3,3,17,-24,21.5,1
589,589,22022,1629130,Duncan Robinson,1610612748,MIA,Miami Heat,22201204,2023-04-07,MIA @ WAS,L,28,2,8,0.25,1,6,0.167,0,0,,0,5,5,1,1,0,3,6,5,-12,12.5,1
590,590,22022,1629216,Gabe Vincent,1610612748,MIA,Miami Heat,22201204,2023-04-07,MIA @ WAS,L,22,3,10,0.3,0,5,0.0,0,0,,0,2,2,8,1,0,0,1,6,-24,23.4,1
593,593,22022,1629622,Max Strus,1610612748,MIA,Miami Heat,22201204,2023-04-07,MIA @ WAS,L,26,4,10,0.4,3,7,0.429,0,0,,1,2,3,2,0,0,1,2,11,-24,16.6,1
625,625,22022,1629639,Tyler Herro,1610612748,MIA,Miami Heat,22201198,2023-04-06,MIA @ PHI,W,32,7,17,0.412,5,8,0.625,5,5,1.0,0,4,4,5,1,0,1,0,24,19,38.3,1
626,626,22022,1629312,Haywood Highsmith,1610612748,MIA,Miami Heat,22201198,2023-04-06,MIA @ PHI,W,18,3,4,0.75,0,1,0.0,0,0,,2,2,4,2,0,0,2,2,6,17,11.8,1
628,628,22022,1628997,Caleb Martin,1610612748,MIA,Miami Heat,22201198,2023-04-06,MIA @ PHI,W,35,5,10,0.5,1,4,0.25,2,2,1.0,2,5,7,5,0,0,1,2,13,22,27.9,1
690,690,22022,202710,Jimmy Butler,1610612748,MIA,Miami Heat,22201198,2023-04-06,MIA @ PHI,W,29,9,12,0.75,1,3,0.333,5,6,0.833,0,3,3,6,0,0,0,1,24,11,36.6,1
694,694,22022,1628389,Bam Adebayo,1610612748,MIA,Miami Heat,22201198,2023-04-06,MIA @ PHI,W,24,7,11,0.636,0,0,,0,0,,4,4,8,1,0,0,0,0,14,7,25.1,1
696,696,22022,1629130,Duncan Robinson,1610612748,MIA,Miami Heat,22201198,2023-04-06,MIA @ PHI,W,5,2,3,0.667,1,2,0.5,0,0,,0,0,0,1,0,0,0,0,5,-1,6.5,1
697,697,22022,1629216,Gabe Vincent,1610612748,MIA,Miami Heat,22201198,2023-04-06,MIA @ PHI,W,21,2,7,0.286,1,3,0.333,0,0,,0,2,2,3,1,0,1,2,5,2,13.9,1
698,698,22022,1629622,Max Strus,1610612748,MIA,Miami Heat,22201198,2023-04-06,MIA @ PHI,W,24,5,9,0.556,4,8,0.5,0,0,,0,1,1,4,0,0,1,2,14,16,20.2,1
699,699,22022,1630209,Omer Yurtseven,1610612748,MIA,Miami Heat,22201198,2023-04-06,MIA @ PHI,W,5,2,2,1.0,0,0,,0,0,,0,1,1,0,0,0,1,1,4,-1,4.2,1
700,700,22022,1631288,Jamal Cain,1610612748,MIA,Miami Heat,22201198,2023-04-06,MIA @ PHI,W,5,1,1,1.0,0,0,,0,0,,0,1,1,1,0,0,0,1,2,-1,4.7,1
702,702,22022,200768,Kyle Lowry,1610612748,MIA,Miami Heat,22201198,2023-04-06,MIA @ PHI,W,22,4,5,0.8,3,4,0.75,0,0,,1,4,5,7,1,0,0,1,11,27,30.5,1
703,703,22022,201567,Kevin Love,1610612748,MIA,Miami Heat,22201198,2023-04-06,MIA @ PHI,W,19,2,7,0.286,2,6,0.333,1,2,0.5,1,5,6,4,0,0,3,1,7,22,17.2,1
960,960,22022,1629622,Max Strus,1610612748,MIA,Miami Heat,22201177,2023-04-04,MIA @ DET,W,29,3,10,0.3,2,8,0.25,1,2,0.5,0,3,3,2,0,0,0,2,9,-10,15.6,1
961,961,22022,1628389,Bam Adebayo,1610612748,MIA,Miami Heat,22201177,2023-04-04,MIA @ DET,W,31,6,10,0.6,0,0,,6,6,1.0,2,2,4,2,2,0,1,3,18,6,30.8,1
962,962,22022,202710,Jimmy Butler,1610612748,MIA,Miami Heat,22201177,2023-04-04,MIA @ DET,W,35,9,12,0.75,0,0,,9,11,0.818,0,8,8,8,4,0,2,0,27,4,58.6,1
1025,1025,22022,1629639,Tyler Herro,1610612748,MIA,Miami Heat,22201177,2023-04-04,MIA @ DET,W,38,7,16,0.438,2,7,0.286,2,2,1.0,0,5,5,2,1,0,1,2,18,18,29.0,1
1026,1026,22022,1629216,Gabe Vincent,1610612748,MIA,Miami Heat,22201177,2023-04-04,MIA @ DET,W,36,8,14,0.571,6,11,0.545,0,0,,0,3,3,2,1,0,0,2,22,19,31.6,1
1027,1027,22022,1628997,Caleb Martin,1610612748,MIA,Miami Heat,22201177,2023-04-04,MIA @ DET,W,30,2,5,0.4,0,1,0.0,2,2,1.0,2,2,4,3,3,0,0,2,6,16,24.3,1
1089,1089,22022,200768,Kyle Lowry,1610612748,MIA,Miami Heat,22201177,2023-04-04,MIA @ DET,W,23,3,6,0.5,2,5,0.4,3,3,1.0,0,2,2,5,1,1,3,5,11,5,23.9,1
1090,1090,22022,201567,Kevin Love,1610612748,MIA,Miami Heat,22201177,2023-04-04,MIA @ DET,W,17,3,7,0.429,1,4,0.25,0,0,,1,3,4,2,0,1,0,2,7,7,17.8,1
1448,1448,22022,202710,Jimmy Butler,1610612748,MIA,Miami Heat,22201161,2023-04-01,MIA vs. DAL,W,37,12,16,0.75,1,3,0.333,10,11,0.909,0,3,3,12,1,0,0,2,35,6,59.6,1
1450,1450,22022,1629216,Gabe Vincent,1610612748,MIA,Miami Heat,22201161,2023-04-01,MIA vs. DAL,W,26,3,8,0.375,2,5,0.4,1,1,1.0,2,2,4,2,0,0,1,1,9,6,15.8,1
1452,1452,22022,1628997,Caleb Martin,1610612748,MIA,Miami Heat,22201161,2023-04-01,MIA vs. DAL,W,33,4,4,1.0,0,0,,0,0,,0,1,1,1,1,0,1,4,8,1,12.7,1
1456,1456,22022,201567,Kevin Love,1610612748,MIA,Miami Heat,22201161,2023-04-01,MIA vs. DAL,W,19,5,9,0.556,2,5,0.4,6,6,1.0,1,4,5,1,1,0,2,2,18,8,26.5,1
1458,1458,22022,1629639,Tyler Herro,1610612748,MIA,Miami Heat,22201161,2023-04-01,MIA vs. DAL,W,36,5,16,0.313,2,8,0.25,3,3,1.0,1,5,6,3,1,0,2,1,15,-1,27.7,1
1459,1459,22022,1629622,Max Strus,1610612748,MIA,Miami Heat,22201161,2023-04-01,MIA vs. DAL,W,30,6,11,0.545,6,9,0.667,0,0,,1,3,4,1,0,0,2,3,18,-7,22.3,1
1460,1460,22022,200768,Kyle Lowry,1610612748,MIA,Miami Heat,22201161,2023-04-01,MIA vs. DAL,W,27,1,8,0.125,0,5,0.0,4,5,0.8,2,2,4,7,1,0,0,0,6,14,24.3,1
1461,1461,22022,1629130,Duncan Robinson,1610612748,MIA,Miami Heat,22201161,2023-04-01,MIA vs. DAL,W,2,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,1,0,9,1.2,1
1464,1464,22022,203469,Cody Zeller,1610612748,MIA,Miami Heat,22201161,2023-04-01,MIA vs. DAL,W,29,9,13,0.692,0,1,0.0,2,3,0.667,3,5,8,0,1,0,0,2,20,-1,32.6,1
1803,1803,22022,203469,Cody Zeller,1610612748,MIA,Miami Heat,22201138,2023-03-29,MIA @ NYK,L,13,1,2,0.5,0,0,,0,2,0.0,3,2,5,1,0,0,1,1,2,-3,8.5,1
1804,1804,22022,202710,Jimmy Butler,1610612748,MIA,Miami Heat,22201138,2023-03-29,MIA @ NYK,L,35,5,10,0.5,0,0,,2,2,1.0,2,1,3,6,0,0,1,1,12,-8,23.6,1
1805,1805,22022,201567,Kevin Love,1610612748,MIA,Miami Heat,22201138,2023-03-29,MIA @ NYK,L,16,2,8,0.25,1,7,0.143,0,0,,0,4,4,2,1,0,0,1,5,5,15.8,1
