,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
173,173,22021,200765,Rajon Rondo,1610612739,CLE,Cleveland Cavaliers,22101218,2022-04-10,CLE vs. MIL,W,25,2,5,0.4,2,4,0.5,0,0,,0,4,4,13,1,0,1,4,6,17,32.3,1
174,174,22021,201567,Kevin Love,1610612739,CLE,Cleveland Cavaliers,22101218,2022-04-10,CLE vs. MIL,W,15,10,16,0.625,8,11,0.727,4,6,0.667,2,8,10,2,1,0,0,1,32,15,50.0,1
176,176,22021,1627747,Caris LeVert,1610612739,CLE,Cleveland Cavaliers,22101218,2022-04-10,CLE vs. MIL,W,29,2,7,0.286,0,5,0.0,2,2,1.0,0,0,0,6,2,0,1,3,6,38,20.0,1
177,177,22021,1628374,Lauri Markkanen,1610612739,CLE,Cleveland Cavaliers,22101218,2022-04-10,CLE vs. MIL,W,21,8,11,0.727,4,7,0.571,3,3,1.0,0,7,7,0,0,0,0,1,23,33,31.4,1
179,179,22021,1629636,Darius Garland,1610612739,CLE,Cleveland Cavaliers,22101218,2022-04-10,CLE vs. MIL,W,23,4,7,0.571,3,5,0.6,0,0,,0,2,2,8,0,0,0,0,11,38,25.4,1
180,180,22021,1630171,Isaac Okoro,1610612739,CLE,Cleveland Cavaliers,22101218,2022-04-10,CLE vs. MIL,W,18,2,4,0.5,0,0,,0,0,,1,1,2,2,0,0,0,3,4,18,9.4,1
181,181,22021,1630596,Evan Mobley,1610612739,CLE,Cleveland Cavaliers,22101218,2022-04-10,CLE vs. MIL,W,23,8,13,0.615,0,0,,2,4,0.5,3,7,10,1,0,4,1,0,18,33,42.5,1
186,186,22021,1626224,Cedi Osman,1610612739,CLE,Cleveland Cavaliers,22101218,2022-04-10,CLE vs. MIL,W,27,6,10,0.6,2,4,0.5,1,2,0.5,0,4,4,2,1,0,1,4,15,0,24.8,1
188,188,22021,1629164,Brandon Goodwin,1610612739,CLE,Cleveland Cavaliers,22101218,2022-04-10,CLE vs. MIL,W,8,0,2,0.0,0,0,,0,0,,0,0,0,1,0,0,2,2,0,-21,-0.5,1
189,189,22021,1629650,Moses Brown,1610612739,CLE,Cleveland Cavaliers,22101218,2022-04-10,CLE vs. MIL,W,9,4,5,0.8,0,0,,0,0,,1,1,2,0,0,0,0,3,8,-20,10.4,1
191,191,22021,1629685,Dylan Windler,1610612739,CLE,Cleveland Cavaliers,22101218,2022-04-10,CLE vs. MIL,W,19,1,3,0.333,0,2,0.0,0,0,,1,2,3,2,0,0,0,4,2,-27,8.6,1
232,232,22021,1630205,Lamar Stevens,1610612739,CLE,Cleveland Cavaliers,22101218,2022-04-10,CLE vs. MIL,W,20,4,10,0.4,0,0,,0,0,,2,1,3,2,0,1,3,1,8,-22,14.6,1
272,272,22021,1630612,RJ Nembhard Jr.,1610612739,CLE,Cleveland Cavaliers,22101218,2022-04-10,CLE vs. MIL,W,3,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-12,0.2,1
397,397,22021,201567,Kevin Love,1610612739,CLE,Cleveland Cavaliers,22101205,2022-04-08,CLE @ BKN,L,21,4,9,0.444,2,6,0.333,0,0,,4,5,9,0,0,1,2,1,10,-9,21.8,1
398,398,22021,200765,Rajon Rondo,1610612739,CLE,Cleveland Cavaliers,22101205,2022-04-08,CLE @ BKN,L,9,0,0,,0,0,,0,0,,1,1,2,5,0,0,1,1,0,-10,8.9,1
402,402,22021,1626224,Cedi Osman,1610612739,CLE,Cleveland Cavaliers,22101205,2022-04-08,CLE @ BKN,L,26,3,6,0.5,1,4,0.25,2,2,1.0,0,2,2,2,0,0,0,2,9,6,14.4,1
403,403,22021,1627747,Caris LeVert,1610612739,CLE,Cleveland Cavaliers,22101205,2022-04-08,CLE @ BKN,L,34,5,10,0.5,0,1,0.0,6,8,0.75,0,4,4,4,0,1,1,5,16,-7,28.8,1
