,Unnamed: 0,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FANTASY_PTS,VIDEO_AVAILABLE
29,29,22021,201980,Danny Green,1610612755,PHI,Philadelphia 76ers,22101228,2022-04-10,PHI vs. DET,W,20,0,2,0.0,0,2,0.0,0,0,,0,4,4,2,3,0,2,2,0,-9,14.8,1
30,30,22021,202699,Tobias Harris,1610612755,PHI,Philadelphia 76ers,22101228,2022-04-10,PHI vs. DET,W,24,3,10,0.3,0,0,,0,0,,2,3,5,6,1,0,2,4,6,0,22.0,1
33,33,22021,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,22101228,2022-04-10,PHI vs. DET,W,23,9,15,0.6,0,4,0.0,7,7,1.0,0,2,2,3,0,0,2,2,25,-12,29.9,1
77,77,22021,1630194,Paul Reed,1610612755,PHI,Philadelphia 76ers,22101228,2022-04-10,PHI vs. DET,W,21,12,14,0.857,0,0,,1,1,1.0,2,4,6,2,4,1,0,5,25,30,50.2,1
117,117,22021,201599,DeAndre Jordan,1610612755,PHI,Philadelphia 76ers,22101228,2022-04-10,PHI vs. DET,W,23,4,6,0.667,0,0,,0,2,0.0,3,8,11,1,0,1,0,3,8,-14,25.7,1
119,119,22021,1627788,Furkan Korkmaz,1610612755,PHI,Philadelphia 76ers,22101228,2022-04-10,PHI vs. DET,W,32,2,10,0.2,1,7,0.143,4,4,1.0,1,2,3,4,0,1,1,0,9,24,20.6,1
121,121,22021,1629680,Matisse Thybulle,1610612755,PHI,Philadelphia 76ers,22101228,2022-04-10,PHI vs. DET,W,36,3,4,0.75,1,2,0.5,0,0,,0,3,3,1,1,2,0,4,7,-4,21.1,1
125,125,22021,1629003,Shake Milton,1610612755,PHI,Philadelphia 76ers,22101228,2022-04-10,PHI vs. DET,W,33,11,18,0.611,1,3,0.333,7,7,1.0,2,2,4,4,2,1,0,1,30,24,49.8,1
143,143,22021,1630198,Isaiah Joe,1610612755,PHI,Philadelphia 76ers,22101228,2022-04-10,PHI vs. DET,W,28,2,9,0.222,2,7,0.286,2,2,1.0,0,4,4,2,2,0,3,2,8,21,18.8,1
330,330,22021,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,22101214,2022-04-09,PHI vs. IND,W,37,14,17,0.824,2,2,1.0,11,15,0.733,5,15,20,4,2,1,5,4,41,11,75.0,1
